role,company,location,time,link,Domain,scraped
Data Analyst,Optum,"Noida, Uttar Pradesh, India",5 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-optum-3256828665?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=smWdV8zLBNbh1K2rVwK3YQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
Data Analyst (SQL Python),DemandHelm,"Mumbai, Maharashtra, India",22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-demandhelm-3253741297?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=A1B9ErDjdpOe3Xln7xV35Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
Data Analyst [eDiscovery],Giant Eagle GCC,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/data-analyst-ediscovery-at-giant-eagle-gcc-3254080802?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=E5ij6y31iS9eJQiTvb1Gpg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
Associate - Data Analyst,"Mettler-Toledo International, Inc","Mumbai, Maharashtra, India",13 hours ago,https://in.linkedin.com/jobs/view/associate-data-analyst-at-mettler-toledo-international-inc-3256436211?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=QTfFW5DaMR9NuHcC7SxrbQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
Data Analyst,Gartner,"Gurgaon, Haryana, India",9 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-gartner-3254086451?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=Q%2BLp25t5JPc%2BXg2LeGNskA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
Data Analyst [SQL & Python],Giant Eagle GCC,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-giant-eagle-gcc-3254085228?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=TxTeQYCMjSJGp3gsObz1hg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
Data Analyst,Zscaler,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-zscaler-3249176277?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=8shpZc6cG2Unl%2FCx4rlqng%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
Data Analyst [SQL],Giant Eagle GCC,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3254082706?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=bFS3KI2odC5usLAzFI0suA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
Data Analyst - Python,Simplify360,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-python-at-simplify360-3249174136?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=9%2FN%2FuEm1Ngi%2FDzjAR3mGAg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
(SQL) Data Analyst,Giant Eagle GCC,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/sql-data-analyst-at-giant-eagle-gcc-3254082715?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=DDkiZS9HwMQx8Ldmw%2BdrgA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
Data and Analytics Analyst,NatWest Group,"Bengaluru, Karnataka, India",4 hours ago,https://in.linkedin.com/jobs/view/data-and-analytics-analyst-at-natwest-group-3254918418?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=U1qup56eEhXkxqgKZ2Tcrw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
Data and Analytics Analyst,NatWest Group,"Gurgaon, Haryana, India",4 hours ago,https://in.linkedin.com/jobs/view/data-and-analytics-analyst-at-natwest-group-3254921048?refId=uV0lJEU20we%2BCpkT0jyt7w%3D%3D&trackingId=v%2FQ7DfZcBvdKh0hdlF7a%2FA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:43:48
