role,company,location,time,link,Domain,scraped
Data Analyst Bootcamp,Lejhro Bootcamp,India,56 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-bootcamp-at-lejhro-bootcamp-3280688460?refId=KSHc%2Fcy%2Bl4SUqFOiC0uYVw%3D%3D&trackingId=%2FnO3GHEFLJLs%2F2nUneQP9Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,29-09-2022_10:09:58
Data Analyst,Shoolin Consultancy Pty Ltd.,Greater Bengaluru Area,1 hour ago,https://in.linkedin.com/jobs/view/data-analyst-at-shoolin-consultancy-pty-ltd-3280682703?refId=KSHc%2Fcy%2Bl4SUqFOiC0uYVw%3D%3D&trackingId=plenWeCo7OnSP8BclsV7NA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,29-09-2022_10:09:58
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3291866563?refId=KSHc%2Fcy%2Bl4SUqFOiC0uYVw%3D%3D&trackingId=RVqKJfqInfwNVWLbgpAzFw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,29-09-2022_10:09:58
Data Analyst,Jar,"Bengaluru, Karnataka, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-jar-3279777283?refId=KSHc%2Fcy%2Bl4SUqFOiC0uYVw%3D%3D&trackingId=l5Gzea4bXf4vArzqSpjCVw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,29-09-2022_10:09:58
Data Analyst,e6data,"Bengaluru, Karnataka, India",10 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-e6data-3293132189?refId=KSHc%2Fcy%2Bl4SUqFOiC0uYVw%3D%3D&trackingId=zGXMZCUkDShj%2BOak2NORNw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,29-09-2022_10:09:58
Data Analyst,Wiom,"Delhi, Delhi, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-wiom-3279744182?refId=KSHc%2Fcy%2Bl4SUqFOiC0uYVw%3D%3D&trackingId=Ov%2Bf6xdDWQrUt6ptWgemrQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,29-09-2022_10:09:58
(SQL) Data Analyst,Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/sql-data-analyst-at-giant-eagle-gcc-3289573756?refId=KSHc%2Fcy%2Bl4SUqFOiC0uYVw%3D%3D&trackingId=0fAEaNr6mdu4TS%2FIW5q4eg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,29-09-2022_10:09:58
"Data Analyst, AVP",NatWest Group,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-avp-at-natwest-group-3292953306?refId=KSHc%2Fcy%2Bl4SUqFOiC0uYVw%3D%3D&trackingId=rHNrszAGwqeW5Ca73Z2naA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,29-09-2022_10:09:58
Data Analyst,Bayer,"Bengaluru, Karnataka, India",16 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-bayer-3292712908?refId=KSHc%2Fcy%2Bl4SUqFOiC0uYVw%3D%3D&trackingId=eYUe7f%2FNNxa0S5219BG%2BdA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,29-09-2022_10:09:58
Data Analyst,Snapmint,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-snapmint-3279743072?refId=KSHc%2Fcy%2Bl4SUqFOiC0uYVw%3D%3D&trackingId=CfwFTf2%2Bvg79%2FNpAothNjg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,29-09-2022_10:09:58
