,role,company,location,time,link,scraped
16,Data Warehouse Analyst,Cimpress India,India,20 hours ago,https://in.linkedin.com/jobs/view/data-warehouse-analyst-at-cimpress-india-3247823481?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=GHEC1lhXhVW4myOwqMv5sQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
17,Sales Data Analyst (Remote),BrowserStack,India,15 hours ago,https://in.linkedin.com/jobs/view/sales-data-analyst-remote-at-browserstack-3247859828?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=wpr%2BGcKgRBzgxAvK4AiEeg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
18,eDiscovery [Data Analyst],Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/ediscovery-data-analyst-at-giant-eagle-gcc-3253094352?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=cUySk2b%2FnzJJ4oLIscxEYA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
19,"Analyst, Master Data",Molex,"Bengaluru, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/analyst-master-data-at-molex-3255087230?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=tywMnqJjw2wGsQy1IyhN3Q%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
20,Data Engineer,IVEOND,"Mumbai, Maharashtra, India",2 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-iveond-3248372310?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=dmm8cNOlfY%2BXHLENKYAQIQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
21,Lead Data Analyst [Tableau],Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/lead-data-analyst-tableau-at-giant-eagle-gcc-3253099035?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=A6hFKTwN5kbJmtO%2FehXKyQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
22,Analyst - Data Governance and Operations,ISS | Institutional Shareholder Services,"Mumbai, Maharashtra, India",8 hours ago,https://in.linkedin.com/jobs/view/analyst-data-governance-and-operations-at-iss-institutional-shareholder-services-3255641295?refId=KzXwsM0gOIy%2BBzVlWE2XYw%3D%3D&trackingId=GL%2FFhd2u6IOUc8BZob0vyw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
23,Commercial Insights Analyst,ALKEGEN,"Pune, Maharashtra, India",17 hours ago,https://in.linkedin.com/jobs/view/commercial-insights-analyst-at-alkegen-3255060700?refId=KzXwsM0gOIy%2BBzVlWE2XYw%3D%3D&trackingId=WK1t%2FcHCoMFsbc71TnWifQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
24,"Senior Data Analyst, FinTech (Payments)",Booking Holdings (NASDAQ: BKNG),"Bengaluru, Karnataka, India",10 hours ago,https://in.linkedin.com/jobs/view/senior-data-analyst-fintech-payments-at-booking-holdings-nasdaq-bkng-3253260387?refId=KzXwsM0gOIy%2BBzVlWE2XYw%3D%3D&trackingId=GoEkcWp9pIKB1wK4W7%2Fnnw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
25,bluCognition - Analyst/Senior Analyst - Analytics,bluCognition,Greater Kolkata Area,11 hours ago,https://in.linkedin.com/jobs/view/blucognition-analyst-senior-analyst-analytics-at-blucognition-3253211210?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=8VrozkxbBmboiRrOvNSKBg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
26,Process Associate – Data Analyst-COR021581,Genpact,"Noida, Uttar Pradesh, India",19 hours ago,https://in.linkedin.com/jobs/view/process-associate-%E2%80%93-data-analyst-cor021581-at-genpact-2901415902?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=nqMABzTM53mBEV2NAMzB4A%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
27,AWS Data Engineer,Tata Consultancy Services,"Pune, Maharashtra, India",19 hours ago,https://in.linkedin.com/jobs/view/aws-data-engineer-at-tata-consultancy-services-3247830049?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=HECbhVxATxPLipOmDBDXMw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
28,Software Engineer- System,smartShift,"Bengaluru, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/software-engineer-system-at-smartshift-3247843264?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=YVL2IelwuQ9LumZVnYChHg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
29,Xamarin Developer,Ordex Technology Solution Inc,"Ahmedabad, Gujarat, India",1 hour ago,https://in.linkedin.com/jobs/view/xamarin-developer-at-ordex-technology-solution-inc-3248360216?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=iJ8jA1vwOeUr0tR3Fw0WDQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
30,Senior Technical Solution Analyst,Cerner Corporation,"Bengaluru, Karnataka, India",6 hours ago,https://in.linkedin.com/jobs/view/senior-technical-solution-analyst-at-cerner-corporation-3253456194?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=yR7puT%2Fc3xrLgW7udxGABg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
31,MEAN Stack Developer,OptimHire,"Mumbai, Maharashtra, India",17 hours ago,https://in.linkedin.com/jobs/view/mean-stack-developer-at-optimhire-3247835611?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=70WgnCC7s8tq7Qv76xuKig%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
32,Software Engineer(AI/ML),Hitachi Solutions Europe,"Hyderabad, Telangana, India",13 hours ago,https://in.linkedin.com/jobs/view/software-engineer-ai-ml-at-hitachi-solutions-europe-3253056392?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=C3EgNVvun5Q3%2Bybv5jmeNQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
33,SaT_EMS_Core_Advanced Analyst,EY,"Bengaluru, Karnataka, India",8 hours ago,https://in.linkedin.com/jobs/view/sat-ems-core-advanced-analyst-at-ey-3248333052?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=%2BSwkVGHxToNoip8eGUuABA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
34,Advanced Analyst - TD,EY,"Kochi, Kerala, India",8 hours ago,https://in.linkedin.com/jobs/view/advanced-analyst-td-at-ey-3248328777?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=qtFbISkFrtmtvoTmhyALDQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
35,"Enterprise Systems Analyst A (IN), Senior",Zebra Technologies,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/enterprise-systems-analyst-a-in-senior-at-zebra-technologies-3253420260?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=25hPvP4PW48KU75cd75rJA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
36,Data Platform Engineer - II,Chegg Inc.,"Delhi, Delhi, India",22 hours ago,https://in.linkedin.com/jobs/view/data-platform-engineer-ii-at-chegg-inc-3252916961?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=CWFPCt4UdR1te%2FdhSYvgyQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
37,Pega Developer,Apidel Technologies,"Bengaluru, Karnataka, India",39 minutes ago,https://in.linkedin.com/jobs/view/pega-developer-at-apidel-technologies-3248357984?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=%2FMjTiyZW1fuwlt8b%2Bemhqw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
38,Data Engineer,Advance Auto Parts,"Hyderabad, Telangana, India",15 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-advance-auto-parts-3095135013?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=%2FusE5xtaVkoAk8Ua%2FNWpPA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
39,Account Service Operations Sr Analyst,NTT DATA Services,"Noida, Uttar Pradesh, India",14 hours ago,https://in.linkedin.com/jobs/view/account-service-operations-sr-analyst-at-ntt-data-services-3255296383?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=a1es%2Fw2o8Ju6xwjFIRdfVQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
40,Lead Data Analyst (SQL),Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/lead-data-analyst-sql-at-giant-eagle-gcc-3253095342?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=kHLJ7TzUh7%2Bl4LYo4VCHmw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
41,BST Analyst (Quality),American Express,"Gurgaon, Haryana, India",13 hours ago,https://in.linkedin.com/jobs/view/bst-analyst-quality-at-american-express-3247892273?refId=y2urYelMqUG69IZ%2B6xnYlA%3D%3D&trackingId=FnCk14Zl206Adale3yU0BQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
42,Data Engineer,JobMate,"Bengaluru, Karnataka, India",13 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-jobmate-3248362833?refId=ypTgVs%2FmdNfYErReQFAm1Q%3D%3D&trackingId=0ngp5IKIo0KF0Pu906mXnQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
43,Data Analyst III,F5,"Bangalore Urban district, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-iii-at-f5-3049722407?refId=m4O6Kin%2BaC4SZCLjMsgLsA%3D%3D&trackingId=CveRdsdRLCTL6EBcbfhKFA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
44,Business Analyst - Data Science-ANA003055,Genpact,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/business-analyst-data-science-ana003055-at-genpact-2928889725?refId=m4O6Kin%2BaC4SZCLjMsgLsA%3D%3D&trackingId=0dJeJUXjzad0aI4ZSyIW3Q%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
45,Data Engineer,CityMall,"Gurugram, Haryana, India",14 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-citymall-3253728198?refId=m4O6Kin%2BaC4SZCLjMsgLsA%3D%3D&trackingId=ReRboUXdf9MBtLqnlLk8xw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
46,Data Engineer,Paddy HR Solutions,"Bengaluru, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-paddy-hr-solutions-3255221625?refId=m4O6Kin%2BaC4SZCLjMsgLsA%3D%3D&trackingId=0Gaw0FUrQgtV5yAD5fs1dA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
47,Data Engineer,Iron Mountain,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-iron-mountain-3255567133?refId=m4O6Kin%2BaC4SZCLjMsgLsA%3D%3D&trackingId=M9lCDBDA9JGL%2BDhRBeHHCA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
