role,company,location,time,link,Domain,scraped
Data Analyst,NuvoRetail,India,18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-nuvoretail-3286645938?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=%2BAsVT22qB3GbhWsce0YYyw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Analyst,"The Luxury Closet, Inc.","Gurugram, Haryana, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-the-luxury-closet-inc-3289760360?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=rOf3VmGTr46uDQhxg66rFw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Analyst,The Shakti Plastic Industries,"Pune, Maharashtra, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-the-shakti-plastic-industries-3275886825?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=m43TRek6zk8z38WKiJLAzw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Analyst,Maruti Suzuki India Limited,"Delhi, Delhi, India",14 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-maruti-suzuki-india-limited-3286940841?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=iS9PGo%2Fsk4fl%2BjP2mDrggg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Analyst,AFIV DATA OUTSOURCING,"Surat, Gujarat, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-afiv-data-outsourcing-3286337679?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=NVqXl%2BY2H%2F4So3jQCNFUxA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Analyst (SQL Python),DemandHelm,"Mumbai, Maharashtra, India",23 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-demandhelm-3286379853?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=eTcswJJruJ2A4uvsFrlopA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Analyst,PediaGeek,India,14 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-pediageek-3287825845?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=Z5Gl3qQ7HHx6dgT%2B2oyVJQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3288974075?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=Va0xrt4w4jegOmqVl7TelA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Analyst - Data,Elevate,"Gurgaon, Haryana, India",14 hours ago,https://in.linkedin.com/jobs/view/analyst-data-at-elevate-3289734576?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=bEUB6JgIe1CgVdtr6z%2Fg3w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
QNPS - Data Analyst,Ford Motor Company,"Chennai, Tamil Nadu, India",15 hours ago,https://in.linkedin.com/jobs/view/qnps-data-analyst-at-ford-motor-company-3286936309?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=4dLAvlSi4AaaEcs4UxCb2w%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Analyst,The Shakti Plastic Industries,"Bengaluru, Karnataka, India",22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-the-shakti-plastic-industries-3275870789?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=%2FDQiFCcDqaeeIPRgdWBj5A%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Analyst,ITC Infotech,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-itc-infotech-3150721957?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=KdJ7t1bAHb3MKDg4UCS%2FXw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Analyst-Data Science,American Express,"Gurgaon, Haryana, India",13 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-3286975961?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=wNHaWVjXfPECANwEG4DGsA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
"Lead Data Analyst, ED&A – TPMO",Nike,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/lead-data-analyst-ed-a-%E2%80%93-tpmo-at-nike-3288917249?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=pLpY4dMDETCekhKmXf9t5Q%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Analyst-1,IHS Markit,"Gurgaon, Haryana, India",10 hours ago,https://in.linkedin.com/jobs/view/data-analyst-1-at-ihs-markit-3287209669?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=JUciSmXHtUK5DpWWC0yiDQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Analyst ( SAP SD ),HTC Global Services,"Gurugram, Haryana, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sap-sd-at-htc-global-services-3275886695?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=7Wei3HuYLt1UWhe%2FJ7rrRw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Transformation Analyst I,automotiveMastermind Inc.,"Gurgaon, Haryana, India",10 hours ago,https://in.linkedin.com/jobs/view/data-transformation-analyst-i-at-automotivemastermind-inc-3289841121?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=47oYqIEthgW2zaDcksx4BA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
Data Engineer,Audi India,"Mumbai, Maharashtra, India",9 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-audi-india-3287290152?refId=cfEHx8xJq%2FSs0je8Y%2FUyEA%3D%3D&trackingId=%2F2qI8HV4o5jr%2FxcL0Ez3sQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,27-09-2022_10:31:48
