role,company,location,time,link,Domain,scraped,Experience
Data Analyst,Boston Consulting Group (BCG),"New Delhi, Delhi, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-boston-consulting-group-bcg-3341245599?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=PSqY46R7iv%2Br65H0nb7L%2Fg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,4 + years of relevant industry experience
Data Analyst,Tech Mahindra,"Hyderabad, Telangana, India",16 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-tech-mahindra-3341218231?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=53aitydywND18kUNR%2BFx4w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,Experience 4+ Years
Data Analyst,Foxberry Technologies,"Pune, Maharashtra, India",3 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-foxberry-technologies-3347836667?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=MnYlmu1YL6sebv7PEIaX%2Fw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,2 years experience
"Data Analyst, Digital Finance",Novartis India,"Hyderabad, Telangana, India",4 hours ago,https://in.linkedin.com/jobs/view/data-analyst-digital-finance-at-novartis-india-3350538754?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=mNJ%2BvK4%2BZhQcEGLEmkqtDg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,1-4 years relevant experience
Data Analyst,Ford Motor Company,"Chennai, Tamil Nadu, India",22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-ford-motor-company-3349004968?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=%2B2p2xHRPJMVqXjCh8HbEuQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,
Data Analyst-Global Banking Team,Sheffield Haworth,India,18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-global-banking-team-at-sheffield-haworth-3349356480?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=lAWefGF4woX75mWH3RBCcA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,"5 years coordinated team experience , 
Experience 2+ Years"
Analyst - Data Science,Mondelēz International,"Mumbai, Maharashtra, India",4 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-at-mondel%C4%93z-international-3347829445?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=ohMrzcBTXvIpAj7yORUF%2Fw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,
Data Analyst,Johnson Controls,"Bengaluru, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-johnson-controls-3315856863?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=5EkNOcEDs2G4F%2BpWbnpDAw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,
Data Analyst,AKS ProTalent,India,22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-aks-protalent-3251330881?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=wAkCSwBVL47UOP4w7302Mg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,
Data Analyst - Regrowth,Fynd (Shopsense Retail Technologies Ltd.),"Mumbai, Maharashtra, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-regrowth-at-fynd-shopsense-retail-technologies-ltd-3341844961?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=cVkvYW%2BcITfFqjV5%2Fs5Vjg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,1-4 years of relevant experience
Data Analyst,Applicantz,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3349099426?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=AWzj53owGAHMpPyImlEPOg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,
Data Analyst,MNR Solutions Pvt. Ltd.,"Bengaluru, Karnataka, India",23 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-mnr-solutions-pvt-ltd-3346091065?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=WFSy9mUpiYqFZZf0rD0w0w%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,
Data Analyst,MNR Solutions Pvt. Ltd.,"Chennai, Tamil Nadu, India",23 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-mnr-solutions-pvt-ltd-3346087366?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=P%2BZrbvMwfx0jfKmQ9%2FqO8A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,
"Data Analyst, Trilogy (Remote) - $60,000/year USD",Crossover for Work,"New Delhi, Delhi, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-trilogy-remote-%2460-000-year-usd-at-crossover-for-work-3339228261?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=Czrjhi%2BD4FJoqGsteOAr1g%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,
Data Informatics Analyst (Asia Pacific),NTT,"Bengaluru, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/data-informatics-analyst-asia-pacific-at-ntt-3350597252?refId=N9C4fo25mI61oJ2sPRh%2FHw%3D%3D&trackingId=RGWQHwAj%2F7rNVLIuZhBHKw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-11-2022_10:23:22,
