role,company,location,time,link,Domain,scraped,Experience
"Data Analyst, Digital Finance",Novartis India,"Hyderabad, Telangana, India",4 hours ago,https://in.linkedin.com/jobs/view/data-analyst-digital-finance-at-novartis-india-3348774276?refId=%2Bq1K8WzvpFvbUZWLMJt0tA%3D%3D&trackingId=weH6YetAFXFX6R%2BOf2LoYA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-11-2022_10:11:54,1-4 years relevant experience
Data Analyst,Priceline,"Mumbai, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-priceline-3146295110?refId=%2Bq1K8WzvpFvbUZWLMJt0tA%3D%3D&trackingId=8utzsLVhek75M9SwbM%2FmWg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-11-2022_10:11:54,2 years experience
Data Analyst,JLL Technologies,"Bengaluru, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-jll-technologies-3317519142?refId=%2Bq1K8WzvpFvbUZWLMJt0tA%3D%3D&trackingId=uOgyOpIqXfTVTQDUVITSnw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-11-2022_10:11:54,1-3 years past work experience
Business Analyst - Data Analytics-INS014729,Genpact,"Noida, Uttar Pradesh, India",18 hours ago,https://in.linkedin.com/jobs/view/business-analyst-data-analytics-ins014729-at-genpact-3317487264?refId=%2Bq1K8WzvpFvbUZWLMJt0tA%3D%3D&trackingId=9cohMTlaZF16xC4CI7qycQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-11-2022_10:11:54,
Data Analyst - SQL,Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3345443622?refId=%2Bq1K8WzvpFvbUZWLMJt0tA%3D%3D&trackingId=jTI0U0NzaLcduxIHMYn9zg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-11-2022_10:11:54,2 to 4 years of experience
Informatica Developer,Infosys,India,22 minutes ago,https://in.linkedin.com/jobs/view/informatica-developer-at-infosys-3348950865?refId=%2Bq1K8WzvpFvbUZWLMJt0tA%3D%3D&trackingId=fpSnuL%2F%2F2%2FkGdvByWnUfAA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-11-2022_10:11:54,"7+ years
Informatica ETL development project experience"
Consultant - Power BI,AstraZeneca,"Chennai, Tamil Nadu, India",18 hours ago,https://in.linkedin.com/jobs/view/consultant-power-bi-at-astrazeneca-3246470491?refId=%2Bq1K8WzvpFvbUZWLMJt0tA%3D%3D&trackingId=WIv%2BAzlQQn72HUe3t6k6Zg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-11-2022_10:11:54,"EXPERIENCE

Years of experience 4-7"
Data Engineer,BLOCKnit,India,16 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-blocknit-3339663217?refId=%2Bq1K8WzvpFvbUZWLMJt0tA%3D%3D&trackingId=ooQu%2FQNC7Xs5MN6%2FCq4voQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-11-2022_10:11:54,5 to 10 years of experience.
Data Analyst (Real Estate Insights ),Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-real-estate-insights-at-giant-eagle-gcc-3345444565?refId=%2Bq1K8WzvpFvbUZWLMJt0tA%3D%3D&trackingId=xR%2Bz1kKxxckhBdFcIg2Hqg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-11-2022_10:11:54,Experience Required 3 to 5 years
Data Engineer,Intuit,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-intuit-3174955310?refId=%2Bq1K8WzvpFvbUZWLMJt0tA%3D%3D&trackingId=tdYCOYXkeP9WioQaRDPYaQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-11-2022_10:11:54,
