role,company,location,time,link,Domain,scraped
Data Analyst,noon,"Gurugram, Haryana, India",22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-noon-3340224075?refId=gwNFEgO3o5v8K0enbNxhzg%3D%3D&trackingId=HZDmKdfIFEvOP5JwGNl%2FJA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,03-11-2022_10:07:45
Data Analyst - GAMMA,Boston Consulting Group (BCG),"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-gamma-at-boston-consulting-group-bcg-3334270985?refId=gwNFEgO3o5v8K0enbNxhzg%3D%3D&trackingId=CzdqGD2x9JRGbDFbqycizg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,03-11-2022_10:07:45
Data Analyst - GAMMA,Boston Consulting Group (BCG),"New Delhi, Delhi, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-gamma-at-boston-consulting-group-bcg-3334272580?refId=gwNFEgO3o5v8K0enbNxhzg%3D%3D&trackingId=%2FvGup6ue91YaVt9Ep89%2Fww%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,03-11-2022_10:07:45
Data Analyst,Integrated Personnel Services Limited,"Mumbai, Maharashtra, India",1 minute ago,https://in.linkedin.com/jobs/view/data-analyst-at-integrated-personnel-services-limited-3341087389?refId=gwNFEgO3o5v8K0enbNxhzg%3D%3D&trackingId=I103cpvbcJJT0jtqiFzslw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,03-11-2022_10:07:45
Data Analyst,AKS ProTalent,India,15 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-aks-protalent-3335391423?refId=gwNFEgO3o5v8K0enbNxhzg%3D%3D&trackingId=XH%2Fi3XEMT2Rfk0FG9m%2BgDw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,03-11-2022_10:07:45
Data Visualization - Analyst/Sr. Analyst/ Associate / Sr. Associate,WNS,"Pune, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/data-visualization-analyst-sr-analyst-associate-sr-associate-at-wns-3073941176?refId=gwNFEgO3o5v8K0enbNxhzg%3D%3D&trackingId=yviatN2paQUvO2i7kZlSNw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,03-11-2022_10:07:45
Data Analyst,Silicon Labs,"Hyderabad, Telangana, India",7 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-silicon-labs-3335339026?refId=gwNFEgO3o5v8K0enbNxhzg%3D%3D&trackingId=xXKyOderrWHrgbPFYIC%2Fqg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,03-11-2022_10:07:45
Data Analyst,Integrated Personnel Services Limited,"Bengaluru, Karnataka, India",16 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-integrated-personnel-services-limited-3339453953?refId=gwNFEgO3o5v8K0enbNxhzg%3D%3D&trackingId=9nK6tnJ5YiHLLAeSlZibmg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,03-11-2022_10:07:45
"Data Analyst, Digital Finance",Novartis India,"Hyderabad, Telangana, India",3 hours ago,https://in.linkedin.com/jobs/view/data-analyst-digital-finance-at-novartis-india-3341714758?refId=gwNFEgO3o5v8K0enbNxhzg%3D%3D&trackingId=ZwM2XSuwaU%2FkpSg22gV2%2Bw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,03-11-2022_10:07:45
Data Analyst,"Pransform, Inc.",India,3 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-pransform-inc-3341085759?refId=gwNFEgO3o5v8K0enbNxhzg%3D%3D&trackingId=%2FCKoKf4TC%2F%2BmRiXRmeV7bQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,03-11-2022_10:07:45
