role,company,location,time,link,scraped
Business Analyst,Euromonitor International,"Bengaluru, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-euromonitor-international-3241997589?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=LEOIb%2BMzmradrxnofhc9PQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,ApplyBoard,"Gurgaon, Haryana, India",20 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-applyboard-2890691055?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=qb%2FgP2vIGsjEMe%2Byt9ugWg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,Juppiter AI Labs ✔,India,16 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-juppiter-ai-labs-%E2%9C%94-3246900722?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=PeiAUR6QDCXIwVCnNJIVBA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,MetricStream,"Bengaluru, Karnataka, India",21 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-metricstream-3175674570?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=SzKfe1WevjG7GQkAQea8aw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,Android Developer,"Gurugram, Haryana, India",23 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-android-developer-3244563035?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=uO%2FLSsDS3m8i%2BoCN7dswtA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,Crox Consulting Inc,"Gandhinagar, Gujarat, India",1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-crox-consulting-inc-3242204220?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=G0zWBjp6f1X3WIg%2BENnchA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,MetricStream,"Pune, Maharashtra, India",21 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-metricstream-3175673727?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=W99RU5r6q4n%2BGxbVlQBo%2FQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,INADEV,"Hayathnagar, Telangana, India",5 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-inadev-3247471301?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=CnCGIlW0okf%2BOZRx4NbNPA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,MetricStream,"Hyderabad, Telangana, India",21 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-metricstream-3175677283?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=tqShmXX%2Busf4%2BuaFsRKoeg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,Craft Silicon Asia,"Bengaluru, Karnataka, India",2 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-craft-silicon-asia-3227507646?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=2EzTTrhHAc0jWs0%2F7pIBJQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,MetricStream,"Noida, Uttar Pradesh, India",21 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-metricstream-3175674571?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=%2BoPOmDgE4CLf3fwA%2B54duw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,MetricStream,"Mumbai, Maharashtra, India",21 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-metricstream-3175671861?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=DMjKx5%2BTq4mWHr9D9xYYPQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,MetricStream,"Gurgaon, Haryana, India",21 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-metricstream-3175677288?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=jh0yqgpUqhGb3jhLj6WsKw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,MetricStream,"New Delhi, Delhi, India",21 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-metricstream-3175676315?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=a%2FdhFlQqk1%2BuEPqs%2BrRtVg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,MetricStream,"Chennai, Tamil Nadu, India",21 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-metricstream-3175676319?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=l3MZdnSaNCJf97Z21dZn7w%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,Trading Technologies,"Pune, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-trading-technologies-3241610606?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=iXysjdEy%2FpOa0Ala87JjwQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,MetricStream,"Kolkata, West Bengal, India",21 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-metricstream-3175677281?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=MB3jXWOubCfFt%2BdFFa9hfg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,Indeses Business Ventures Pvt.Ltd,"Jaipur, Rajasthan, India",51 minutes ago,https://in.linkedin.com/jobs/view/business-analyst-at-indeses-business-ventures-pvt-ltd-3246409710?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=AKxzMali3WZVpm%2B16FsyPQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst/Sr. Business Analyst,ARSCCOM,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/business-analyst-sr-business-analyst-at-arsccom-3245091875?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=0olFe3dcqZ%2FInPAFWUQRCg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,Acuity Software Technologies,"Hyderabad, Telangana, India",1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-acuity-software-technologies-3241990928?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=O1KpOi%2F3Ya%2BMAUEn0Kvipg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,Vymo,"Bengaluru, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-vymo-3241615766?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=qYKPJ%2Bkr8NgWkSJwFLBTJQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
ERP Business Analyst,FARFETCH,"Narsapur, Telangana, India",15 hours ago,https://in.linkedin.com/jobs/view/erp-business-analyst-at-farfetch-3245089565?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=HlnlP5Y30d16vW6mjjfLjQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
Business Analyst,Kore.ai,"Hyderabad, Telangana, India",17 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-kore-ai-3241617586?refId=gB2azzAR3n%2Bx0PyQt3YsIw%3D%3D&trackingId=ljj1fcCC2vzYevSBJtmfqw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,01-09-2022_12:24:05
