role,company,location,time,link,Domain,scraped,Experience
Data Operations Analyst,Third Bridge Group Limited,"Mumbai, Maharashtra, India",12 hours ago,https://in.linkedin.com/jobs/view/data-operations-analyst-at-third-bridge-group-limited-3339834469?refId=esatWxVMQ9uJVtSCSNtt9w%3D%3D&trackingId=oZ229F%2F3HDjJBzJBFmV85Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-11-2022_10:07:43,
Data Analyst,neurIOT Labs,"Noida, Uttar Pradesh, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-neuriot-labs-3335772929?refId=esatWxVMQ9uJVtSCSNtt9w%3D%3D&trackingId=n4N819%2Fd0T1P%2B6xGIQP7tQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-11-2022_10:07:43,2-4 Years of relevant experience
Data Analyst,AKS ProTalent,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-aks-protalent-3338126860?refId=esatWxVMQ9uJVtSCSNtt9w%3D%3D&trackingId=QQqSUknBgWXc%2FdqW8HRRoA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-11-2022_10:07:43,
Data Analyst,Silicon Labs,"Hyderabad, Telangana, India",6 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-silicon-labs-3333570290?refId=esatWxVMQ9uJVtSCSNtt9w%3D%3D&trackingId=XzZdL7lKfMaJQpssFLOSGQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-11-2022_10:07:43,2+ experience
"Analyst, Analytics",Mondelēz International,"Mumbai, Maharashtra, India",16 hours ago,https://in.linkedin.com/jobs/view/analyst-analytics-at-mondel%C4%93z-international-3336130920?refId=esatWxVMQ9uJVtSCSNtt9w%3D%3D&trackingId=pAGAkqBOwqFpc2uZovDduA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-11-2022_10:07:43,
"Data Analyst, Digital Finance",Novartis India,"Hyderabad, Telangana, India",4 hours ago,https://in.linkedin.com/jobs/view/data-analyst-digital-finance-at-novartis-india-3340087155?refId=esatWxVMQ9uJVtSCSNtt9w%3D%3D&trackingId=wCCSB2H6mA20x5ce%2FC89qw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-11-2022_10:07:43,1-4 years relevant experience
Data Analyst,Applicantz,"Bengaluru, Karnataka, India",21 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3339118804?refId=esatWxVMQ9uJVtSCSNtt9w%3D%3D&trackingId=I%2Bk%2BKHhhLeQfukpQ7DEkrQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-11-2022_10:07:43,Experience Level 5-7 years
Data Analyst - Consumer Analytics,Eli Lilly and Company,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-consumer-analytics-at-eli-lilly-and-company-3339872419?refId=esatWxVMQ9uJVtSCSNtt9w%3D%3D&trackingId=uEe5hDm5TvAPlIkWHHcM6w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-11-2022_10:07:43,
IARC - Data Analyst,International Asset Reconstruction Company,"Mumbai, Maharashtra, India",10 hours ago,https://in.linkedin.com/jobs/view/iarc-data-analyst-at-international-asset-reconstruction-company-3336748867?refId=esatWxVMQ9uJVtSCSNtt9w%3D%3D&trackingId=zWGWatBL6kcgWJMnyWCN4g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-11-2022_10:07:43,
Data Engineer I- Support Engineer,Junglee Games,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/data-engineer-i-support-engineer-at-junglee-games-3339532687?refId=esatWxVMQ9uJVtSCSNtt9w%3D%3D&trackingId=TiZrostyMPVCvL3EA2pxeQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-11-2022_10:07:43,
