role,company,location,time,link,Domain,scraped,Experience
Data Analyst - Planning,Myntra,"Bengaluru, Karnataka, India",23 hours ago,https://in.linkedin.com/jobs/view/data-analyst-planning-at-myntra-3363931224?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=i0itgCNpK39uc9TdQAaQPQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,"1-4 years of professional experience , 3-4 Years of professional experience"
Data Analyst,Tata Electronics Pvt. Ltd.,"Krishnagiri, Tamil Nadu, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-tata-electronics-pvt-ltd-3366702807?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=GlDGU%2Fe6GYZJNhWYiFWZtw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,
Data Analyst,Avalara,"Pune, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-avalara-3363959853?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=CQGo4udfELR%2FGTc0QkoLCQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,"2-6 years of experience , 2+ years of experience"
Data Analyst,Mettl,"Gurugram, Haryana, India",16 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-mettl-3365437234?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=vw6Y8fWw9yR8FD2yzMHgzA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,Experience 0-2 Years
Data Analyst,The Good Glamm Group,"Mumbai, Maharashtra, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-the-good-glamm-group-3370288737?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=JLflsijB4esQeM9bv6wVBQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,
Data Analyst,Boston Institute of Analytics,"Bengaluru, Karnataka, India",57 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-boston-institute-of-analytics-3365407782?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=AsvLK6tRE%2BVRJQ8BXHgaUQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,
Data Analyst,Tata Consultancy Services,"Bengaluru, Karnataka, India",14 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3364402271?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=q05NvFptKlaxQli6YWH%2F3g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,Experience Range 3-7Yrs
"Analyst, Analytics",Mondelēz International,"Mumbai, Maharashtra, India",15 hours ago,https://in.linkedin.com/jobs/view/analyst-analytics-at-mondel%C4%93z-international-3366764725?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=f6xAuyZIa12NV%2FOoUYQ7Lw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,
Master Data Analyst,Genpact,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/master-data-analyst-at-genpact-3367006056?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=0mlmGN7n42DTekxwXpNVyQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,
Data Analyst,Target,"Bengaluru, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-target-3370730094?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=JbaoAGbn%2B79GnYJx4EEK9w%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",21 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3370235750?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=rCG%2BKRs3VVwNVZzsT5wwvA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,
Data Analyst - Insights,Events by L,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-insights-at-events-by-l-3367006363?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=9MCKT7pL7Hp%2FVC5ASgeleA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,3+ years of experience
Data Analyst (Real-Word Data),Labcorp,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-real-word-data-at-labcorp-3370924770?refId=7wjZ3nrh4SaZyra7yrve1g%3D%3D&trackingId=C4Xe00RxCxsMFYL2UWkbQg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,23-11-2022_10:39:47,3 years of professional experience
