role,company,location,time,link,scraped
Business Analyst,PayNways,"Noida, Uttar Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-paynways-3238317922?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=5c4cOPxGov%2FB0ynCT7WMiA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
Business Analyst,EXL,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-exl-3237638224?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=HRFXzmJUUgXwe7sXkAZBiA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
IT Business Analyst,Batish Technologies Pty Ltd,"Chandigarh, India",29 minutes ago,https://in.linkedin.com/jobs/view/it-business-analyst-at-batish-technologies-pty-ltd-3238333439?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=u8rQSpKWPYqSWJ%2Fazsmp6A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
Business Analyst,HRPG Internship,India,1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-hrpg-internship-3243006371?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=aA3mkXLigmQ75aR5k9rQgg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
Business Analyst,Jobs in Nagpur,India,1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-jobs-in-nagpur-3238312133?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=muGSL2bMiFeH7P0a7sgACQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
Business Analyst,ARSCCOM,"Bengaluru, Karnataka, India",7 minutes ago,https://in.linkedin.com/jobs/view/business-analyst-at-arsccom-3238340460?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=sYu6AAIfzy8Rp4%2F1oqD0XQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
Business Analyst,Deputize Consultancy Pvt Ltd,"Mumbai, Maharashtra, India",18 minutes ago,https://in.linkedin.com/jobs/view/business-analyst-at-deputize-consultancy-pvt-ltd-3238334277?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=hOE2CoHkHDLFC0MpHqdcUw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
Information Technology Business Analyst,Aeroflex Industries Limited,"Navi Mumbai, Maharashtra, India",3 hours ago,https://in.linkedin.com/jobs/view/information-technology-business-analyst-at-aeroflex-industries-limited-3242878349?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=5HgoHcx4QwMdANHYZgeIXg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
Business Analyst,CtrlAltHeal,"Hyderabad, Telangana, India",26 minutes ago,https://in.linkedin.com/jobs/view/business-analyst-at-ctrlaltheal-3243024478?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=93FOqmkgBVAquJE9cDF9VA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
Business Analyst,Confidential,"Noida, Uttar Pradesh, India",2 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-confidential-3242891761?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=CGsEEJdX7PnDi02lwgjujw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
Business Analyst (0-2 yrs work-exp),Workfall,India,22 hours ago,https://in.linkedin.com/jobs/view/business-analyst-0-2-yrs-work-exp-at-workfall-3241486668?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=up1OfpnN3G5U5w58HfRiJg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
Business Analyst,Adecco,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-adecco-3237257798?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=c3YmFyJ57HBIehc0Cf%2F0ow%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
Business Analyst - Insurance,Newgen Software,"Noida, Uttar Pradesh, India",14 hours ago,https://in.linkedin.com/jobs/view/business-analyst-insurance-at-newgen-software-3233287856?refId=gxnU393ETFWt%2Ftg4ih5zuw%3D%3D&trackingId=m4lHrJg%2BH6ldxwo1Z03Ztg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:00:04
