role,company,location,time,link,Domain,scraped,Experience
Data Analyst,Dunzo,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-dunzo-3268103673?refId=TuVxh4eAR2Z4bJgBmBJ1Nw%3D%3D&trackingId=acCiWvtA0cu%2B%2B9fUZyADAA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-09-2022_10:30:07,5+ years of relevant industry experience
Data Analyst - Advanced Excel,WNS,"Gurugram, Haryana, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-advanced-excel-at-wns-3264961501?refId=TuVxh4eAR2Z4bJgBmBJ1Nw%3D%3D&trackingId=BAKd%2BCLQqw1aGi9JkZGMIA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-09-2022_10:30:07,3+ years of experience
Insights Data Analyst,data.ai,India,2 hours ago,https://in.linkedin.com/jobs/view/insights-data-analyst-at-data-ai-3268578804?refId=TuVxh4eAR2Z4bJgBmBJ1Nw%3D%3D&trackingId=gjo0pQDsrJFcWQLQQYOe%2Bg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-09-2022_10:30:07,
Data Analyst,Biofourmis,"Bangalore Urban, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-biofourmis-3150720187?refId=TuVxh4eAR2Z4bJgBmBJ1Nw%3D%3D&trackingId=YLn9QkgCZ%2BH8gY7qPp03sw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-09-2022_10:30:07,2-4 years of experience
Data Analyst,Boston Consulting Group (BCG),"Delhi, Delhi, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-boston-consulting-group-bcg-3261408121?refId=TuVxh4eAR2Z4bJgBmBJ1Nw%3D%3D&trackingId=AY7t93ZiV1m1qiJAyNyLiA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-09-2022_10:30:07,4 + years of relevant industry experience
Data Analyst,JLL,"Gurgaon, Haryana, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-jll-3203355814?refId=TuVxh4eAR2Z4bJgBmBJ1Nw%3D%3D&trackingId=GUToVdpVku34bCriG%2FL08A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-09-2022_10:30:07,Experience 3-5 years
Data Analyst,JLL,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-jll-3191081355?refId=TuVxh4eAR2Z4bJgBmBJ1Nw%3D%3D&trackingId=DS6vddZiKhKM6S9Fo3X1mw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-09-2022_10:30:07,1+ years of working experience
Data Analyst 3,Zynga,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-3-at-zynga-2938102939?refId=TuVxh4eAR2Z4bJgBmBJ1Nw%3D%3D&trackingId=ppoz9Pdn4xY%2BoOa9orIYCQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-09-2022_10:30:07,4+ years of work experience
Data Analyst,Haleon,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-haleon-3226413841?refId=TuVxh4eAR2Z4bJgBmBJ1Nw%3D%3D&trackingId=57me1SgZVkgDPCIxN4rmXQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-09-2022_10:30:07,3+ years experience
Junior/Associate Data Analyst (Python Mandatory),Fidelity International,"Gurgaon, Haryana, India",7 hours ago,https://in.linkedin.com/jobs/view/junior-associate-data-analyst-python-mandatory-at-fidelity-international-3265806045?refId=TuVxh4eAR2Z4bJgBmBJ1Nw%3D%3D&trackingId=aPaVWamzuSCcRCgowDXSOA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-09-2022_10:30:07,
