role,company,location,time,link,Domain,scraped
Data Analyst,Optum,"Noida, Uttar Pradesh, India",5 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-optum-3256828665?refId=yMq5f0p2DHVVnwzumspP8Q%3D%3D&trackingId=sezw0S5XaJWh%2FBJ4GvdsBA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:47:29
Data Analyst,AFIV DATA OUTSOURCING,"Surat, Gujarat, India",2 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-afiv-data-outsourcing-3249276424?refId=yMq5f0p2DHVVnwzumspP8Q%3D%3D&trackingId=xyKpcsWbQzzjg0t%2FUJGrMA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:47:29
Data Analyst (SQL Python),DemandHelm,"Mumbai, Maharashtra, India",22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-demandhelm-3253741297?refId=yMq5f0p2DHVVnwzumspP8Q%3D%3D&trackingId=IoX4vf7ajOcdyicYqmK3ag%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:47:29
Data Analyst,Zscaler,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-zscaler-3249176277?refId=yMq5f0p2DHVVnwzumspP8Q%3D%3D&trackingId=mYjr7kiZCpuzPo0PLR5uKQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:47:29
Data Analyst,Gartner,"Gurgaon, Haryana, India",9 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-gartner-3254086451?refId=yMq5f0p2DHVVnwzumspP8Q%3D%3D&trackingId=2ySclua9CKt719%2B2qzDpXw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:47:29
(SQL) Data Analyst,Giant Eagle GCC,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/sql-data-analyst-at-giant-eagle-gcc-3254082715?refId=yMq5f0p2DHVVnwzumspP8Q%3D%3D&trackingId=0HmBVIb%2BB%2BPzwYohTIyjSA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:47:29
Data Analyst - Python,Simplify360,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-python-at-simplify360-3249174136?refId=yMq5f0p2DHVVnwzumspP8Q%3D%3D&trackingId=NeSn5j0XGVGJdVY8rgxqIg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:47:29
Data Analyst [SQL],Giant Eagle GCC,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3254082706?refId=yMq5f0p2DHVVnwzumspP8Q%3D%3D&trackingId=cCWMlVNgWfSyPmXOwcMjYQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:47:29
Automotive Data Analyst,Kukulkan Manpower Consultancy,"Madurai, Tamil Nadu, India",21 hours ago,NA,DA,07-09-2022_09:47:29
Associate - Data Analyst,"Mettler-Toledo International, Inc","Mumbai, Maharashtra, India",13 hours ago,https://in.linkedin.com/jobs/view/associate-data-analyst-at-mettler-toledo-international-inc-3256436211?refId=yMq5f0p2DHVVnwzumspP8Q%3D%3D&trackingId=q5pkY7SXDKI2RiAegEiykA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-09-2022_09:47:29
