role,company,location,time,link,Domain,scraped,Experience
Data Analyst - Planning,Myntra,"Bengaluru, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-planning-at-myntra-3381861807?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=zOdnwLv4bu4yUn27qTE3%2Bg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,"1-4 years of professional experience , 3-4 Years of professional experience"
Data Analyst,NuvoRetail,India,56 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-nuvoretail-3390112791?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=MHdsZNMW%2BT9HjpQPFlyi0Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,0-1 year of experience
Data Analyst,MongoDB,"Gurgaon, Haryana, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-mongodb-3392655392?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=YxyhvNVlimj8QhpLl8rbOg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,3 years of experience
Data Analyst 2,Epsilon India,"Bengaluru, Karnataka, India",14 hours ago,https://in.linkedin.com/jobs/view/data-analyst-2-at-epsilon-india-3362773716?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=JLqHsUX4Brj5GUyWefnzfA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,2+ years of industry experience
Data Analyst [T500-4357],"Giant Eagle, Inc.","Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-t500-4357-at-giant-eagle-inc-3392683269?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=n789d%2FGpb3RUmDUHGfuFZA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,2 to 4 years of experience
Data Analyst,Artech L.L.C.,"Bengaluru, Karnataka, India",25 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-artech-l-l-c-3390122202?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=IqU3b%2BU8uTvFh8VwFZdLaw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,3-4 years experience
Data Analyst,Hyatt Regency,"Ahmedabad, Gujarat, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-hyatt-regency-3389502654?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=R%2BVxoUnTeGtauf8H9wntuA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,2 years work experience
Data Analyst (Analytics),BOLD,"Noida, Uttar Pradesh, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-analytics-at-bold-3297251919?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=Ef2DDKX2AchXwQi93r1%2Blw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,"Experience

3 to 5 Years"
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3392714402?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=9kKHVED3XNnDLoLne1bP%2FQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,Experience Level 5-7 years
"Data Analyst, Healthcare",Milliman,"Gurgaon, Haryana, India",16 hours ago,https://in.linkedin.com/jobs/view/data-analyst-healthcare-at-milliman-3205240929?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=pSronAIV4nSASJQz2GiV6g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,experience of 1-3 years
Data Analyst,Iris Software Inc.,"Noida, Uttar Pradesh, India",16 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-iris-software-inc-3326532762?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=2zczcLASme98WvHXJJ9TmQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,
"Analyst, Data","GXO Logistics, Inc.","Mumbai, Maharashtra, India",16 hours ago,https://in.linkedin.com/jobs/view/analyst-data-at-gxo-logistics-inc-3021436317?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=Bbmf2xsgGAvjgcJbsGgD3Q%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,
Data Analyst,Durafit Fitex,"Tiruchirappalli, Tamil Nadu, India",13 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-durafit-fitex-3383030259?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=8LvsvJmMe2Td4868Xt1VtA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,
Data Visualization Analyst,World Wide Technology,Greater Kolkata Area,6 hours ago,https://in.linkedin.com/jobs/view/data-visualization-analyst-at-world-wide-technology-3389752552?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=m4kH7glb0dWHwAL99VmNlA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,
Data Privacy Analyst,Virtusa,"Bengaluru, Karnataka, India",22 hours ago,https://in.linkedin.com/jobs/view/data-privacy-analyst-at-virtusa-3389130224?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=8mJ%2B18N%2BBXUciVZy%2BX5V2w%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,
Data Analyst - Resolution Management,Arcadia,"Chennai, Tamil Nadu, India",14 hours ago,https://in.linkedin.com/jobs/view/data-analyst-resolution-management-at-arcadia-3393115283?refId=dRqRxuraLmACFuel8VveXQ%3D%3D&trackingId=XG3j8YvoRKNAzcAgBn063g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,09-12-2022_10:38:43,
