role,company,location,time,link,Domain,scraped,Experience
Data Analyst - Compliance,PhonePe,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-compliance-at-phonepe-3323196304?refId=voSnAegpNr3Jlde%2FJr8i5w%3D%3D&trackingId=WClSeyJNGHa39HTk2Wkzcw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-11-2022_11:05:13,"1 to 2 years of experience , 
Experience 5-6 years"
Data Analyst,AKS ProTalent,India,1 hour ago,https://in.linkedin.com/jobs/view/data-analyst-at-aks-protalent-3373077441?refId=voSnAegpNr3Jlde%2FJr8i5w%3D%3D&trackingId=O9rmZcYM%2FUO2lAIQXqwgMg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-11-2022_11:05:13,
Data Analyst,Integrated Personnel Services Limited,"Chennai, Tamil Nadu, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-integrated-personnel-services-limited-3375549443?refId=voSnAegpNr3Jlde%2FJr8i5w%3D%3D&trackingId=WoNGRHXDyBJ07fDw8UfIcA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-11-2022_11:05:13,
2023 Global Data Analytics - Mumbai,Bloomberg,"Mumbai, Maharashtra, India",4 hours ago,https://in.linkedin.com/jobs/view/2023-global-data-analytics-mumbai-at-bloomberg-3376731369?refId=voSnAegpNr3Jlde%2FJr8i5w%3D%3D&trackingId=ghCcpSYHtSNRoYODwJc4iw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-11-2022_11:05:13,5 years of relevant work experience
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",21 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3379684993?refId=voSnAegpNr3Jlde%2FJr8i5w%3D%3D&trackingId=3BQJZyHuE7%2FkG%2BGgXCk%2BfQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-11-2022_11:05:13,Experience Level 5-7 years
Data Analyst,Johnson Controls,"Bengaluru, Karnataka, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-johnson-controls-3375590942?refId=voSnAegpNr3Jlde%2FJr8i5w%3D%3D&trackingId=Y3vqzj4kzWhTxVfQZvCW2g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-11-2022_11:05:13,
Data Analyst,Fortuna Entertainment Group,"Hyderabad, Telangana, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-fortuna-entertainment-group-3375515631?refId=voSnAegpNr3Jlde%2FJr8i5w%3D%3D&trackingId=HV%2Bu8EqJ%2FHcHVSTt0V097w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-11-2022_11:05:13,3+ years of experience
Data Analyst,Atharva System,"Ahmedabad, Gujarat, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-atharva-system-3375517638?refId=voSnAegpNr3Jlde%2FJr8i5w%3D%3D&trackingId=Ng57JPOy%2Fcf97aA7FUFL8w%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-11-2022_11:05:13,"Experience of 3+ years, 2 Years of Experience."
"Data Analyst, Trilogy (Remote) - $60,000/year USD",Crossover,"Bengaluru, Karnataka, India",4 hours ago,https://in.linkedin.com/jobs/view/data-analyst-trilogy-remote-%2460-000-year-usd-at-crossover-3376729243?refId=voSnAegpNr3Jlde%2FJr8i5w%3D%3D&trackingId=DCAJPUlE9BK9wSUFZDN5UQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-11-2022_11:05:13,
Insights Analyst,Thomson Reuters,"Bengaluru, Karnataka, India",5 hours ago,https://in.linkedin.com/jobs/view/insights-analyst-at-thomson-reuters-3380739124?refId=voSnAegpNr3Jlde%2FJr8i5w%3D%3D&trackingId=gmb%2FzL0uYaGeOJkS3ZcsjA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-11-2022_11:05:13,
