role,company,location,time,link,Domain,scraped,Experience
Data Analyst - Planning,Myntra,"Bengaluru, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/data-analyst-planning-at-myntra-3363931224?refId=%2BLbFFWe85ngUX0DVnMemgA%3D%3D&trackingId=EV7d2mvkqiz721sbhIj7%2Bw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-11-2022_12:18:19,"1-4 years of professional experience , 3-4 Years of professional experience"
Data Analyst,Annalect India,"Bengaluru, Karnataka, India",22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-annalect-india-3363232109?refId=%2BLbFFWe85ngUX0DVnMemgA%3D%3D&trackingId=ctJarWH0qV2jSeCo4rRLug%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-11-2022_12:18:19,2 to 3 years of experience
Data Analyst,Experian,"Mumbai, Maharashtra, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-experian-3361135975?refId=%2BLbFFWe85ngUX0DVnMemgA%3D%3D&trackingId=DAcN2S%2BzTizPpzgo9%2BrEQA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-11-2022_12:18:19,0 -2 yrs of experience
Data Analyst,Tata Consultancy Services,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3363263060?refId=%2BLbFFWe85ngUX0DVnMemgA%3D%3D&trackingId=r3QCUL17z77fDl1xdfABkw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-11-2022_12:18:19,Experience Range 3-7Yrs
WFM Data Analyst,Hopper,"Alipur, Delhi, India",13 hours ago,https://in.linkedin.com/jobs/view/wfm-data-analyst-at-hopper-3363411032?refId=%2BLbFFWe85ngUX0DVnMemgA%3D%3D&trackingId=r4E3eWBnauQtp8uJSzCs2A%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-11-2022_12:18:19,
Data Analyst,ePayLater,"Mumbai, Maharashtra, India",22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-epaylater-3365144200?refId=%2BLbFFWe85ngUX0DVnMemgA%3D%3D&trackingId=S5G5PCC16JX6LLHhM1IHcQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-11-2022_12:18:19,
Data Analyst - ED&A,Qween Network LLP,"Bengaluru, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-ed-a-at-qween-network-llp-3365625029?refId=%2BLbFFWe85ngUX0DVnMemgA%3D%3D&trackingId=rXw9g3NL4J2IjFtInwgdFQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-11-2022_12:18:19,
Data Analyst,Blu Ocean Innovations pvt ltd,India,2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-blu-ocean-innovations-pvt-ltd-3366407149?refId=%2BLbFFWe85ngUX0DVnMemgA%3D%3D&trackingId=b9Z1DWBLl28OaoKOuf495w%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-11-2022_12:18:19,
Data Analyst,WSP,"Noida, Uttar Pradesh, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-wsp-3369526964?refId=%2BLbFFWe85ngUX0DVnMemgA%3D%3D&trackingId=x%2By5iXDNLVdlRE%2B6CeExhA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-11-2022_12:18:19,
Associate Data Analyst,Bombay Play,"Bengaluru, Karnataka, India",36 minutes ago,https://in.linkedin.com/jobs/view/associate-data-analyst-at-bombay-play-3370179094?refId=%2BLbFFWe85ngUX0DVnMemgA%3D%3D&trackingId=OYMydo%2BzrVPYmKL48obTxA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-11-2022_12:18:19,
Data Analyst,AKS ProTalent,India,14 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-aks-protalent-3365660516?refId=%2BLbFFWe85ngUX0DVnMemgA%3D%3D&trackingId=fR4TRNeBc2Il3BoD3w6dNw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-11-2022_12:18:19,
