role,company,location,time,link,Domain,scraped,Experience
Data Analyst,PhonePe,"Bengaluru, Karnataka, India",14 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-phonepe-3374762554?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=pU5w4ipc1SE0d%2B35jEQqIQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,1-3 years of data analytics experience
Data Analyst,Info Origin Inc.,"Bengaluru, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/data-analyst-at-info-origin-inc-3370607517?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=Yd15rghu5pTU4x9ByOWF8A%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,Experience 1+
Data Analyst,Yugn,"Gurgaon, Haryana, India",9 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-yugn-3366997146?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=O1bAdpSipRlKSnSV4AmZag%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,2 yrs of work experience
Data Analyst,AKS ProTalent,"Bengaluru, Karnataka, India",23 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-aks-protalent-3365846200?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=wC9nt%2BmA7Em0%2By43T7n08g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Data Analyst,Blu Ocean Innovations pvt ltd,India,17 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-blu-ocean-innovations-pvt-ltd-3370611925?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=esjQVbrhgBKVk2kYFS%2BnOg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3374190864?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=LG8%2B1TJ9fH8DMHuf1tSOdQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,Experience Level 5-7 years
Data Analyst,SmartAnalyst,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-smartanalyst-3281550898?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=l5XPU2%2BgyhHFAPMxAgOfLA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,3+ experience
Data Processing Analyst - Core SO,NielsenIQ,"Chennai, Tamil Nadu, India",19 hours ago,https://in.linkedin.com/jobs/view/data-processing-analyst-core-so-at-nielseniq-2894396796?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=%2B9AzRFrEitRKsAvBfWLIDg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Data Analyst,Horizontal Talent,"Bangalore Urban, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-horizontal-talent-3342435741?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=pGgYYdL6eS9R6d4E%2FscUoQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,5 to 8 years of proven experience
Data Analyst,Hema’s Enterprises Pvt Ltd (HEPL),"Chennai, Tamil Nadu, India",46 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-hema%E2%80%99s-enterprises-pvt-ltd-hepl-3367242314?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=PEO8Pqm2CA%2B2VttXEwBIhQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,5+ years of overall experience
Data Analyst - Project Management,Klaus IT Solutions Pvt Ltd,"Bengaluru, Karnataka, India",56 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-project-management-at-klaus-it-solutions-pvt-ltd-3367243205?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=ruNsjFwQa2YYNOBpJu0Png%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Data Analyst,Marini India - Fayat Group,"Ahmedabad, Gujarat, India",3 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-marini-india-fayat-group-3370091780?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=epOf%2FPlM5KtnejCeJrK2gw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Data Processing Analyst-OMNI Sales,NielsenIQ,"Chennai, Tamil Nadu, India",17 hours ago,https://in.linkedin.com/jobs/view/data-processing-analyst-omni-sales-at-nielseniq-2890428283?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=iRuaIjJ7AQUGoq4q0LAWuA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Data Analyst - Subscription Management,Arcadia,"Chennai, Tamil Nadu, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-subscription-management-at-arcadia-3341137282?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=rmOgBAVaz24PxEvnibqbaA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Data & Analytics Senior Analyst,CANPACK Group,"Pune, Maharashtra, India",10 hours ago,https://in.linkedin.com/jobs/view/data-analytics-senior-analyst-at-canpack-group-3366992570?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=dlmdkf%2F3I25fM9XWaYumaw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Data Analyst - Resolution Management,Arcadia,"Chennai, Tamil Nadu, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-resolution-management-at-arcadia-3342431908?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=NJLr31y9pj28OspJoSuKxg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Process Developer– Data Analyst-COR021585,Genpact,"Noida, Uttar Pradesh, India",18 hours ago,https://in.linkedin.com/jobs/view/process-developer%E2%80%93-data-analyst-cor021585-at-genpact-3341485473?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=PWdsK0qEczw2RJyaZ72cAw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Process Developer-Data Analyst-ANA005319,Genpact,"Noida, Uttar Pradesh, India",17 hours ago,https://in.linkedin.com/jobs/view/process-developer-data-analyst-ana005319-at-genpact-3280073649?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=dPihn4DwYo4JTJJL2LlWcQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Data Engineer,Continental,"Bengaluru, Karnataka, India",16 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-continental-3366944164?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=LZvWsmpFov%2BSlu8kZmT8Fw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
"Analyst, Master Data",Cardinal Health,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/analyst-master-data-at-cardinal-health-3242042428?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=%2BZ3wBSVp5RfeyQhnA30xvw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
Secret Technologies - Data Analyst,SECRET TECHNOLOGIES INDIA (VMS GROUP),"Mumbai, Maharashtra, India",13 hours ago,https://in.linkedin.com/jobs/view/secret-technologies-data-analyst-at-secret-technologies-india-vms-group-3366967049?refId=0BAdQeOve%2FSYdnUFW9BU8w%3D%3D&trackingId=%2B4q8j9H4VTl3ZN5tmKIG2w%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,25-11-2022_10:40:49,
