role,company,location,time,link,Domain,scraped,Experience
Data Analyst - II,Chegg India,"Delhi, Delhi, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-ii-at-chegg-india-3147463203?refId=185OGAcJJvBi1ATJS%2B2SyA%3D%3D&trackingId=1E9KtVr0WsR234rwzMQcSg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-12-2022_10:44:10,2-3 years of relevant experience
"Data Analyst, Digital Finance",Novartis India,"Hyderabad, Telangana, India",4 hours ago,https://in.linkedin.com/jobs/view/data-analyst-digital-finance-at-novartis-india-3390383986?refId=185OGAcJJvBi1ATJS%2B2SyA%3D%3D&trackingId=sQEvRZGp5tHwwOZynpfHEw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-12-2022_10:44:10,1-4 years relevant experience
Data Analyst,EVERSANA,"Pune, Maharashtra, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-eversana-3390024103?refId=185OGAcJJvBi1ATJS%2B2SyA%3D%3D&trackingId=SgzX6PyxFId7TmUDcqnoTg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-12-2022_10:44:10,2-4 years of experience
Data Analyst,Johnson Controls,"Bengaluru, Karnataka, India",5 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-johnson-controls-3375590942?refId=185OGAcJJvBi1ATJS%2B2SyA%3D%3D&trackingId=8jgHWhgtLdHLrlhq4z252A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-12-2022_10:44:10,
Data Analyst,Antal International,"Chennai, Tamil Nadu, India",47 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-antal-international-3388030145?refId=185OGAcJJvBi1ATJS%2B2SyA%3D%3D&trackingId=Yb9rVKfsWDbSjXJZZWhH8Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-12-2022_10:44:10,Experience  5 + yrs
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3389483318?refId=185OGAcJJvBi1ATJS%2B2SyA%3D%3D&trackingId=CDQkKFd%2BBAdZleZ0y6tKHg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-12-2022_10:44:10,Experience Level 5-7 years
Project Data Analyst,WSP,"Bengaluru, Karnataka, India",13 hours ago,https://in.linkedin.com/jobs/view/project-data-analyst-at-wsp-3390038484?refId=185OGAcJJvBi1ATJS%2B2SyA%3D%3D&trackingId=6S%2BFwaka0OLrQZ81VuRt7g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-12-2022_10:44:10,
Data Analyst Engineer,Ethos,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-engineer-at-ethos-3360388458?refId=185OGAcJJvBi1ATJS%2B2SyA%3D%3D&trackingId=yU7QvnqUa7R%2BNXa2WaAgZQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-12-2022_10:44:10,4 years of solid software engineering experience
Data analyst Intren,Aristocrat IT Solutions Pvt. Ltd.,"Chennai, Tamil Nadu, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-intren-at-aristocrat-it-solutions-pvt-ltd-3387415167?refId=185OGAcJJvBi1ATJS%2B2SyA%3D%3D&trackingId=zVvCZfFEgYf36U4eYDO7rA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-12-2022_10:44:10,
Data Analyst,Durafit Fitex,"Tiruchirappalli, Tamil Nadu, India",24 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-durafit-fitex-3388029907?refId=185OGAcJJvBi1ATJS%2B2SyA%3D%3D&trackingId=C5ugz%2B68kzHNxcWq1UhBqw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,07-12-2022_10:44:10,2+ yrs experience.
