role,company,location,time,link,Domain,scraped,Experience
Data Analyst,Near,"Bengaluru, Karnataka, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-near-3337370301?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=u8B9GB5GenISCZZAo0Sa5A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,2 Years of experience
Data Analyst,OneCode.in,"Bengaluru, Karnataka, India",16 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-onecode-in-3331184175?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=YAmALlKJLN1oz6pjoSZvkQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,1 to 3 years of relevant experience
Data Analyst - SQL/ETL Tools,HuQuo,"Gurugram, Haryana, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-etl-tools-at-huquo-3331192089?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=iFeooBmwdIaFlqPDHpMAfw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Hyderabad, Telangana, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337371922?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=Vu2pXzldg6UetZghQ2IRAg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Jaipur, Rajasthan, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337374798?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=BRDo4Rw7JqASA25zQW%2BJVg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Pune, Maharashtra, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337370976?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=rydH13AEW0TjPeIq%2FBrgeg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,Greater Kolkata Area,1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337374796?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=xcy23Lbq9MJ2CBB3rRKboA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Remote Data Analyst Jobs,Turing.com,India,10 hours ago,https://in.linkedin.com/jobs/view/remote-data-analyst-jobs-at-turing-com-3333858168?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=YG7CDi84X7%2BeZORVjsIJuQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,"experience)
At least 3+ years"
Data Engineer Fresher,Tata Group,"Kurnool, Andhra Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337374836?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=BEtUPVThJjwXLsYeQTlIJg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Suratgarh, Rajasthan, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337372852?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=psjxBGyg%2BQPd%2FU1q5UcQ8Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Thane, Maharashtra, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337378005?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=6boyvl6pGFgZKq%2FXZtQUfA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Siliguri, West Bengal, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337372853?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=GABZ%2Fbbyvr53I%2F3%2B3ichMg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Kanpur, Uttar Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337373829?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=NHIWWd74Jj%2FGET4A5%2FJV1Q%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Agartala, Tripura, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337375585?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=dzTHk8FNViBR%2BZ4SpTg51A%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Lucknow, Uttar Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337374833?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=Y6dpaneOPx15dU5zBmpBDw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Vadodara, Gujarat, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337375587?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=qiATn%2FZs14yVy1J7n22c0A%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Gwalior, Madhya Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337372851?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=i5nPjAr%2B1PCRDqgdITsd%2FQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Indore, Madhya Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337374835?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=bdoCcT%2Fvl4g0LSyofU1AFQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Ahmedabad, Gujarat, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337371923?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=KiMhNj6deYv%2FAY56mVywFA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Kochi, Kerala, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337370979?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=EUUgmxz7n3PXm6QeT8VM2w%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Banda, Uttar Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337377046?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=lW7FfqAG5loMP4nikLalkA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Chandigarh, Chandigarh, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337375586?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=1DZHo9nmhUhoTQSWIOSpKQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Latur, Maharashtra, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337374834?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=szMvtr8PNDzkKbIzTxCxfQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Patna, Chhattisgarh, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337370978?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=weCJqp6hNwtJFezwPMtZMQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Data Engineer Fresher,Tata Group,"Uttar Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-tata-group-3337375588?refId=BSugLYDDjcXUnNsW63Dxtg%3D%3D&trackingId=74P681LPPXc8VSav2OyAqw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Computer Engineer,Tata Group,"Kurnool, Andhra Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/computer-engineer-at-tata-group-3337374779?refId=eznozgcvcUjDmbugkyHzAg%3D%3D&trackingId=G8MVDopKyRAWNOQDKtp0gw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Computer Engineer,Tata Group,"Vijayawada, Andhra Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/computer-engineer-at-tata-group-3337375531?refId=eznozgcvcUjDmbugkyHzAg%3D%3D&trackingId=7C9gAiEWb9ZjU8m%2FBSFw%2FQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
Back End Developer,Dzor,India,1 hour ago,https://in.linkedin.com/jobs/view/back-end-developer-at-dzor-3334618924?refId=eznozgcvcUjDmbugkyHzAg%3D%3D&trackingId=XfglAEcCUsaIKMMguRpQ4A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,
"Senior Analyst, Product Revenue (Data Analyst)",Zscaler,"Gurgaon, Haryana, India",19 hours ago,https://in.linkedin.com/jobs/view/senior-analyst-product-revenue-data-analyst-at-zscaler-3164803728?refId=eznozgcvcUjDmbugkyHzAg%3D%3D&trackingId=JgojuebBMC1y4GQkQtPr4A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,31-10-2022_10:33:21,3 to 10 Years of experience
