role,company,location,time,link,Domain,scraped,Experience
Data Analyst,Tata Consultancy Services,"Chennai, Tamil Nadu, India",16 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3249843029?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=hM4wK2qiulhwviWwJqXUfQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Analyst-Data Science,American Express,"Gurgaon, Haryana, India",19 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-3249814353?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=sR23HrLWDwfYXdTKSzUd9Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Data Analyst,Milestone Inc,"Bengaluru, Karnataka, India",10 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-milestone-inc-3257601782?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=cDQLsfQQNA9EtNeURuXH3w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Data Analyst,Simplify360,"Bengaluru North, Karnataka, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-simplify360-3258109882?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=CRhiXPFDxqFjUNq0wEJOjg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Data Analyst,HuntingCube Recruitment Solutions,"Bengaluru, Karnataka, India",10 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-huntingcube-recruitment-solutions-3257602450?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=X6mCPNOGDOel8tzPP8vV0A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Data Analyst,ShortHills Tech (Gold Microsoft Partner),Greater Delhi Area,32 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-shorthills-tech-gold-microsoft-partner-3243662415?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=ud4BxpwYXIv9lhQNrZEHCw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Insights Data Analyst - II,Tide,"Hyderabad, Telangana, India",14 hours ago,https://in.linkedin.com/jobs/view/insights-data-analyst-ii-at-tide-3249868869?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=JV%2BAV8DsQf4D68HXP9DUSA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Data Analyst (SQL),Giant Eagle GCC,"Bengaluru, Karnataka, India",10 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3257375754?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=GJLLYcY7cJi2GP%2FWvi6BXQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Retention Data Analyst,University of the People,India,17 hours ago,https://in.linkedin.com/jobs/view/retention-data-analyst-at-university-of-the-people-3257715601?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=ZMFod0okA3fSWlWfaaaVzA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
SQL Developer/Data analyst,NTT Ltd.,"Bengaluru, Karnataka, India",21 hours ago,https://in.linkedin.com/jobs/view/sql-developer-data-analyst-at-ntt-ltd-3253814606?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=LzcYolfBzg2B00ICdm8ovA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Data Analyst,JLL,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-jll-3257335897?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=dRhTnZri8mhc8GpqzFJPjQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Data Analyst (SQL & Python),Giant Eagle GCC,"Bengaluru, Karnataka, India",10 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-giant-eagle-gcc-3257366957?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=OqZjtdCMkdB1hsSZLqQM6Q%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
SQL [Data Analyst],Giant Eagle GCC,"Bengaluru, Karnataka, India",10 hours ago,https://in.linkedin.com/jobs/view/sql-data-analyst-at-giant-eagle-gcc-3257369743?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=S%2FyMRnBE4rxgdEGCvlpd6A%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Senior Data Analyst,Joveo,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-joveo-3257608710?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=%2BRJlHORS6rIV3tKlNO%2BMPg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Data Analyst,Quotient Technology Inc.,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-quotient-technology-inc-3188516221?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=GkMRGnSypgbzKpQyk3XUgg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Data Analyst,JLL Technologies,"Bengaluru, Karnataka, India",10 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-jll-technologies-3257377416?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=q0YQfqbAY9vr1%2BX6Pz9APA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
Associate Data Analyst,"Neustar, Inc.","Hyderabad, Telangana, India",14 hours ago,https://in.linkedin.com/jobs/view/associate-data-analyst-at-neustar-inc-3249866993?refId=OF0TM0J%2BfuZIw97%2F03O%2Bsg%3D%3D&trackingId=YmsMSQnzlWq%2F8w%2FyislOiw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,08-09-2022_10:32:49,
