role,company,location,time,link,Domain,scraped
Data Analyst,PediaGeek,India,36 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-pediageek-3279232904?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=lRJGaww32WiHKa%2FKeqNxuA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst - Fresher,YouGov,"Navi Mumbai, Maharashtra, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-fresher-at-yougov-3277651441?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=w58Qp%2BDbI1dfSWnbE9XIog%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3280848364?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=ZH4KMpNVH9SBJg83GEn%2FEg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst,AFIV DATA OUTSOURCING,"Surat, Gujarat, India",1 hour ago,https://in.linkedin.com/jobs/view/data-analyst-at-afiv-data-outsourcing-3282186703?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=YofcyOtoywKfGhqqBkcrag%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst,TravClan,"New Delhi, Delhi, India",23 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-travclan-3277630249?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=ojfSx1TwA5nHTUBFawk6nQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Sr Data Analyst,Target,"Bengaluru, Karnataka, India",14 hours ago,https://in.linkedin.com/jobs/view/sr-data-analyst-at-target-3281500379?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=U3ubEf8BybgRfARHv%2B59pw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst,Cotiviti,"Pune, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-cotiviti-3280894296?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=BFstYVZD4GEoEgEsD80shQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
"Data Analyst - Bangalore, KA",Optum,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-bangalore-ka-at-optum-3280871588?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=n2JGRy5kEuA14CYWc3LbfQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
(SQL) Data Analyst,Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/sql-data-analyst-at-giant-eagle-gcc-3277988552?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=dmuaoa6HLxzQc%2F6BywDwDw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
"Associate Data Analyst - Bangalore, KA",Optum,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/associate-data-analyst-bangalore-ka-at-optum-3280870821?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=m6u1aBkL0NH2WFseMwScgw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst,Hyatt Regency,"Ahmedabad, Gujarat, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-hyatt-regency-3277959232?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=kAXrP%2FUc%2FxPuUwXvm87%2BTw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Analyst-Data Science,Accenture in India,"Mumbai, Maharashtra, India",1 hour ago,https://in.linkedin.com/jobs/view/analyst-data-science-at-accenture-in-india-3282183740?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=qyxNL9fZXFfymRggUAPPBg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst,Cotiviti,"Hyderabad, Telangana, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-cotiviti-3280895215?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=DPB%2FJrMjeUPEsDwIFP7ljA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst,SmartAnalyst,"Gurugram, Haryana, India",9 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-smartanalyst-3281550898?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=QqflKTYq7yuCHeMY73Bylg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst - SQL,Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3277992135?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=I9ZMYGtb3Qe7DOn8cpL55g%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
"Analyst, Analytics",Mondelēz International,"Mumbai, Maharashtra, India",16 hours ago,https://in.linkedin.com/jobs/view/analyst-analytics-at-mondel%C4%93z-international-3277909661?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=LlhqQkreMB8E1WwwCFUl4g%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst - Power BI [T500-4484],3M,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-power-bi-t500-4484-at-3m-3280715626?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=xHW0Tpoe%2BQgO%2Fcg%2Bg4CQpA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst [SQL & Python],Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-giant-eagle-gcc-3277992147?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=jHUPZMGKThdRxkNaHkkRHg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Sr Data Analyst,Labcorp,"Bengaluru, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/sr-data-analyst-at-labcorp-3281279334?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=%2FO%2Ba14MLEEAzTc1KGuNDKw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
Data Analyst,Quess Corp Limited,"Andhra Pradesh, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-quess-corp-limited-3281454599?refId=6XdUKUP0CLAYrTXR1Nqykg%3D%3D&trackingId=CQqeB0Ubf3CBK0D3%2FvLRNQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,22-09-2022_10:22:50
