role,company,location,time,link,Domain,scraped,Experience
Data Analyst Bootcamp,Lejhro Bootcamp,India,1 hour ago,https://in.linkedin.com/jobs/view/data-analyst-bootcamp-at-lejhro-bootcamp-3257574043?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=pFewshc4cTHKWnll4AgAlA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,
Data Analyst,NuvoRetail,India,11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-nuvoretail-3262512572?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=fzkrBhtPoqF3llbcG1xHdw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,0-1 year of experience
Data Analyst (SQL Python),DemandHelm,"Mumbai, Maharashtra, India",9 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-demandhelm-3263052010?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=9HHe9ZAGfSSDID2uOcaJ9g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,0-2 years of experience
Data Analyst - SQL & Python,Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-giant-eagle-gcc-3262514046?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=BLe3AxKeFdJhv7sH7i27hA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,3 to 5 years of experience
SQL (Data Analyst),Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/sql-data-analyst-at-giant-eagle-gcc-3262514041?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=debpDyvsPHlkstRH5THymg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,Experience Required 3 to 5 years
Data Analyst (SQL),Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3262514042?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=4QOq8NMBpHNxOpohfC2vmg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,3 to 5 years of experience
Data Analyst - Media Partnerships,Ushta Te Consultancy Services LLP,"Gurugram, Haryana, India",18 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-media-partnerships-at-ushta-te-consultancy-services-llp-3257579696?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=pzx99B6lKJZZW9VH6QKSpA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,4-5 years of professional work experience
Data Science Analyst,Celigo,"Hyderabad, Telangana, India",19 hours ago,https://in.linkedin.com/jobs/view/data-science-analyst-at-celigo-3225130701?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=sWAl0p%2BczrxawkhFujkZmg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,3+ years experience
"Senior Data Analyst - Bangalore, KA",Optum,"Bengaluru, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/senior-data-analyst-bangalore-ka-at-optum-3265649141?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=BNZEy6isAJV4wn4OE6%2BLeA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,
Data Privacy Analyst (Fresher),Varian,"Pune, Maharashtra, India",5 hours ago,https://in.linkedin.com/jobs/view/data-privacy-analyst-fresher-at-varian-3265628094?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=1VlquD9O94SX8Q6n5AWI3Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,
Data Engineer - GCP,Maven Workforce,"Bengaluru, Karnataka, India",1 minute ago,https://in.linkedin.com/jobs/view/data-engineer-gcp-at-maven-workforce-3263049726?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=ra09XUNJnYtitMGJXgsojg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,7+ years direct experience
Sr. Data Analyst,Advance Auto Parts,"Hyderabad, Telangana, India",5 hours ago,https://in.linkedin.com/jobs/view/sr-data-analyst-at-advance-auto-parts-3262595768?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=1kD6Ajss9i7585JTn0Q2nw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,
Analyst-Data Visualization,Accenture in India,"Gurgaon, Haryana, India",18 hours ago,https://in.linkedin.com/jobs/view/analyst-data-visualization-at-accenture-in-india-3160860460?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=HjRQ5rLKYfrJQyxNMZOj3w%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,
Lead Data Analyst [SQL],Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/lead-data-analyst-sql-at-giant-eagle-gcc-3262507969?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=TBibufmun6PHm7fv3v3Q5w%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,
Data Visualization Analyst / Data Visualization Senior Analyst,Circle K,"Gurugram, Haryana, India",16 hours ago,https://in.linkedin.com/jobs/view/data-visualization-analyst-data-visualization-senior-analyst-at-circle-k-3136416319?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=XKlXQG%2Fx6shyUPQqH5c5tA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,
Lead Data Analyst (Power Bi),Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/lead-data-analyst-power-bi-at-giant-eagle-gcc-3262508938?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=HM0cDgndI0egF2d0P0NOuQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,
Lead Data Analyst - Tableau,Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/lead-data-analyst-tableau-at-giant-eagle-gcc-3262511667?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=tKzEODMoEPCARJ9Abg89tw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,
Sr. Analyst (Data monitoring),Apidel Technologies,"Mumbai, Maharashtra, India",28 minutes ago,https://in.linkedin.com/jobs/view/sr-analyst-data-monitoring-at-apidel-technologies-3257574758?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=CUq5qifnie0Vgg1Nk3A8Vg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,
Analytics /  Data Engineer,Freelance (Self employed),"Bengaluru, Karnataka, India",3 hours ago,https://in.linkedin.com/jobs/view/analytics-data-engineer-at-freelance-self-employed-3257548169?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=EgP0JTHhpBDacfLtK7WeSw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,2 - 4 years of experience
Data Engineer,Technodysis,"Bengaluru, Karnataka, India",7 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-technodysis-3265656368?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=i58BRud8BJ26EPHxz31ukw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,
Data Engineer - R/SQL/Python,HuQuo,"Gurugram, Haryana, India",13 hours ago,https://in.linkedin.com/jobs/view/data-engineer-r-sql-python-at-huquo-3257513200?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=CxwBHI2O8AOHHYr%2FQd5eCg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,2-7 years of consulting analytics delivery experience
Data Engineer,Technodysis,"Hyderabad, Telangana, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-at-technodysis-3257566689?refId=z7WS1oEzKecBWO46PHSbeg%3D%3D&trackingId=BReVSfo323a1MrwkQWCfJg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,12-09-2022_10:29:34,0+ years of experience.
