role,company,location,time,link,Domain,scraped
Data Analyst,PediaGeek,India,5 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-pediageek-3274701903?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=P4U5rehkMDcGWAcXjnwYTw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
Data Analyst,Alliance Recruitment Agency,"Ahmedabad, Gujarat, India",4 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-alliance-recruitment-agency-3270510119?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=cdeeaf%2FYV8rZPgQ6nWVqrw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
Data Analyst,Marks and Spencer Reliance India Private Limited,"Gurugram, Haryana, India",10 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-marks-and-spencer-reliance-india-private-limited-3276741288?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=Tc%2BOtqAqtTcI0WOPSKKfmQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
Data Analyst [SQL],Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3274340700?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=2BdF6yLymZ4NvDPYnL%2Fq%2Fg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
Data Analyst,Webonise,"Pune, Maharashtra, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-webonise-3274314194?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=wbUiNZK2erWSJGrXt7x0Hw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
Data Analyst - BRD,Eli Lilly and Company,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-brd-at-eli-lilly-and-company-3275983644?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=ytNErUwnT6lZ1Olc2kgz6g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
Junior Content Marketing Data analyst,YouGov,"Mumbai, Maharashtra, India",22 minutes ago,https://in.linkedin.com/jobs/view/junior-content-marketing-data-analyst-at-yougov-3274594922?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=6PtoOQKPqiC3B9hlIawhQw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
Data Analyst - SQL,Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3274341584?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=L9YWST5Gb7tXmDgZ%2B8ItWw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
Data Analyst - SQL & Python,Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-giant-eagle-gcc-3274336921?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=GyXG8UI1yMcUkNnM2gp5uQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
Senior Data Analyst,L&T Financial Services,"Mumbai, Maharashtra, India",30 minutes ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-l-t-financial-services-3274591608?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=%2B3Q9ed%2FGEwSUaGoOnF%2FSxA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
Senior Data Analyst,TEKWISSEN SOFTWARE PRIVATE LIMITED,"Gurugram, Haryana, India",9 minutes ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-tekwissen-software-private-limited-3270510085?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=faQptksXMI%2F3uKEj0D8%2FLQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
Lead Data Analyst (SQL),Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/lead-data-analyst-sql-at-giant-eagle-gcc-3274337838?refId=H9Bh5IIbsJc0uN0vZKhQHw%3D%3D&trackingId=NxRx6srGUDweEDWkU0o1og%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,19-09-2022_11:00:48
