role,company,location,time,link,Domain,scraped,Experience
Data Analyst - Consumer + Excel,WNS,"Gurugram, Haryana, India",21 hours ago,https://in.linkedin.com/jobs/view/data-analyst-consumer-%2B-excel-at-wns-3263076224?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=sH2UwWIt7%2FMKF8RJGkXw1w%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,4+ years of experience
Data Analyst,DecisionAttic,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-decisionattic-3258330203?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=%2FQPmY0PR71KXgadmA3Z9sg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,"experience
1 - 2 years"
Data Analyst SQL,InitiateatCF,"Jaipur, Rajasthan, India",Just now,https://in.linkedin.com/jobs/view/data-analyst-sql-at-initiateatcf-3267015163?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=ypupX6AOPxL3fTiBjtaSug%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,
Data Analyst,Thanks Buddy,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-thanks-buddy-3263082474?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=e8yPH4kvYo8etvtFGJvyQQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,
Associate Data Analyst/Data Analyst - Services,Arcadia,"Chennai, Tamil Nadu, India",19 hours ago,https://in.linkedin.com/jobs/view/associate-data-analyst-data-analyst-services-at-arcadia-3131672778?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=A2TuDQdCqg5sNZ4vJzqZMg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,
Data Analyst,Klub,"Bengaluru, Karnataka, India",14 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-klub-3259110695?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=FSktkSrQJuVdr9ibzrpISA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,
Junior/Associate Data Analyst (Python Mandatory),Fidelity International,"Gurgaon, Haryana, India",19 hours ago,https://in.linkedin.com/jobs/view/junior-associate-data-analyst-python-mandatory-at-fidelity-international-3265806045?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=OHUzjscBVL1XInTBNXxhaA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,3 years prior experience
"Data Analyst, 2",Bread Financial,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-2-at-bread-financial-3263490913?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=MM%2B86Qe15%2B68mK%2BZOwD5zg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,
Junior Associate - Data Engineer,AstraZeneca,"Chennai, Tamil Nadu, India",19 hours ago,https://in.linkedin.com/jobs/view/junior-associate-data-engineer-at-astrazeneca-3160873583?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=5mx0E8phZUsKzkSmG%2BtqRQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,
Data Analyst (SQL Python),DemandHelm,"Mumbai, Maharashtra, India",1 day ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-demandhelm-3263052010?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=nm%2Blb5fEIFqjz2Oct1wjKA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,
Master Data Analyst,Harsco Corporation,"Hyderabad, Telangana, India",18 hours ago,https://in.linkedin.com/jobs/view/master-data-analyst-at-harsco-corporation-3098679995?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=YNy7lWDrepx1mY7gB6Hn%2Bw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,
"Analyst, Data","GXO Logistics, Inc.","Mumbai, Maharashtra, India",19 hours ago,https://in.linkedin.com/jobs/view/analyst-data-at-gxo-logistics-inc-3021436317?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=6kS8TF8ibZDbai%2FUAkunSA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,3 years of professional experience
Senior Data Analyst,Qween Network LLP,"Bengaluru, Karnataka, India",16 hours ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-qween-network-llp-3263466513?refId=Aa7%2FT49NlSvG%2FvakQ5JgAw%3D%3D&trackingId=QrVMcY1VQwCC3wm36aivQw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-09-2022_10:28:01,
