role,company,location,time,link,scraped
Data Analyst,Antal International,India,6 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-antal-international-3244940179?refId=mNACodZQFxhgbvfokLVgsg%3D%3D&trackingId=EcoQchF3Wz%2F0ljKziJsIZA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_10:58:22
Data Analyst,SECARA INTERNATIONAL PVT LTD,"Kochi, Kerala, India",57 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-secara-international-pvt-ltd-3238322233?refId=mNACodZQFxhgbvfokLVgsg%3D%3D&trackingId=W4pKvesK7UXfwbho3C3jCg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_10:58:22
Data Analyst,ESSENWARE PRIVATE LIMITED,"Hyderabad, Telangana, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-essenware-private-limited-3241780988?refId=mNACodZQFxhgbvfokLVgsg%3D%3D&trackingId=ymLznl845EKzgTkhwMUUTw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_10:58:22
Analyst-Data Science,American Express,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-3237263527?refId=mNACodZQFxhgbvfokLVgsg%3D%3D&trackingId=xZ4oFTthYCbdJbMwcktEfw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_10:58:22
Data Analyst (SQL Python),DemandHelm,"Mumbai, Maharashtra, India",23 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-demandhelm-3241429231?refId=mNACodZQFxhgbvfokLVgsg%3D%3D&trackingId=tIqIMDGnMrQlZ2fkYBukMw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_10:58:22
Data Analyst,ShortHills Tech (Gold Microsoft Partner),Greater Delhi Area,22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-shorthills-tech-gold-microsoft-partner-3243662415?refId=mNACodZQFxhgbvfokLVgsg%3D%3D&trackingId=uL%2BHXujybjp3rsbUFGyM%2BQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_10:58:22
"Data Analyst, 1",Bread Financial,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/data-analyst-1-at-bread-financial-3242380041?refId=mNACodZQFxhgbvfokLVgsg%3D%3D&trackingId=wjy8q6RDjpWAolk1U7eYCw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_10:58:22
Data Analyst,Appen,"Delhi, India",22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237244647?refId=mNACodZQFxhgbvfokLVgsg%3D%3D&trackingId=%2FWCtY1dwT7O06LXr5gUg0g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_10:58:22
"Data Analyst, 1",Bread Financial,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/data-analyst-1-at-bread-financial-3242376618?refId=mNACodZQFxhgbvfokLVgsg%3D%3D&trackingId=FmNnH%2FsdphP%2FPIZdiNg7hA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_10:58:22
Data Analyst,Appen,"Mumbai, Maharashtra, India",22 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237244645?refId=mNACodZQFxhgbvfokLVgsg%3D%3D&trackingId=h6j4zxqIne%2FKHFKytjK4CQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_10:58:22
