role,company,location,time,link,Domain,scraped,Experience
Data Analyst,Hillenbrand,"Coimbatore, Tamil Nadu, India",8 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-hillenbrand-3378141576?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=mOVNFm7YiXzCiyBmVdYRuw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,"experience
2-3 years"
Data Analyst,Tata Consultancy Services,"Bangalore Urban, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3378103308?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=RkTAhFCZ%2FPvAsEwlzwTj5Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,"3 years of experience , 4+ yrs of overall experience."
"Data Analyst, Digital Finance",Novartis India,"Hyderabad, Telangana, India",16 hours ago,https://in.linkedin.com/jobs/view/data-analyst-digital-finance-at-novartis-india-3388287149?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=DXFEeVpCBb43EwdrlL086w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,1-4 years relevant experience
Data Analyst | December 2022,Anaxee Digital Runners Private Limited,"Indore, Madhya Pradesh, India",7 hours ago,https://in.linkedin.com/jobs/view/data-analyst-december-2022-at-anaxee-digital-runners-private-limited-3388871741?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=SJ5%2BeZCRCdYDUIvKkYuLgg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,1+ years of experience
Data Analyst,Quess IT Staffing,"Gurugram, Haryana, India",52 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-quess-it-staffing-3378164535?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=0of7PvmajMX3hntXuRv7yA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,
Retention Data Analyst,University of the People,India,22 hours ago,https://in.linkedin.com/jobs/view/retention-data-analyst-at-university-of-the-people-3257715601?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=VqBlfoFDbb2alcfSuVmDog%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,2 years of experience
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3388847397?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=hFMJCSyc2hxRcbGlM%2BAs2Q%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,Experience Level 5-7 years
"Data Analyst, Trilogy (Remote) - $60,000/year USD",Crossover,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-trilogy-remote-%2460-000-year-usd-at-crossover-3376729243?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=suWOIzG4tNr4y9Sg9fcE5Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,
"Data Analyst, Trilogy (Remote) - $60,000/year USD",Crossover,"New Delhi, Delhi, India",16 hours ago,https://in.linkedin.com/jobs/view/data-analyst-trilogy-remote-%2460-000-year-usd-at-crossover-3376725788?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=FTjB281Um5MTAbHG7SsaeA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,
"Data Analyst, Trilogy (Remote) - $60,000/year USD",Crossover,"Delhi, Delhi, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-trilogy-remote-%2460-000-year-usd-at-crossover-3376731041?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=p0ofdceTTiCx%2BT7eXsh7jQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,
Data Analyst,Durafit Fitex,"Tiruchirappalli, Tamil Nadu, India",48 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-durafit-fitex-3378163620?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=U7jEiPgGp3P37quTHABo3g%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,2+ yrs experience.
Data Quality Analyst,Rockstar Games,"Bengaluru, Karnataka, India",16 hours ago,https://in.linkedin.com/jobs/view/data-quality-analyst-at-rockstar-games-2173726324?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=gGijDoj7AGmMW70Swyz%2Ffg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,
Online Data Analyst India,TELUS International,India,10 hours ago,https://in.linkedin.com/jobs/view/online-data-analyst-india-at-telus-international-3388764299?refId=7L2yqYTtLG2Ph0RmG7%2BQOg%3D%3D&trackingId=8V1hiT1AWAj%2BRKWVfQ5OEw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,06-12-2022_10:45:24,
