role,company,location,time,link,Domain,scraped,Experience
Reporting Data Analyst,Confluent,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/reporting-data-analyst-at-confluent-2991597745?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=%2BKwBtNvbxD3DLOAm9WMWCA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,3+ years of experience
Data Analyst,Zeno Health,"Mumbai, Maharashtra, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-zeno-health-3318782002?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=nPrvAHQi6QajxfKMHAitFg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,2+ years of professional experience
DATA ANALYST,Diageo,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-diageo-3341973754?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=M3JSsjrS6JZhWVtadkrzLg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,
Data Analyst,Cotiviti,"Hyderabad, Telangana, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-cotiviti-3280895215?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=AGCyn%2Fb7pg%2FGIb7EcN4KKQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,
"Data Analyst, Digital Finance",Novartis India,"Hyderabad, Telangana, India",16 hours ago,https://in.linkedin.com/jobs/view/data-analyst-digital-finance-at-novartis-india-3343294899?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=jnyJu2dX8xXksqjVtb4uiA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,1-4 years relevant experience
People Data Analyst,Western Digital,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/people-data-analyst-at-western-digital-3342460294?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=qErXvwCxGjOCKFTe57oUxA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,5+ years working experience
Data Analyst,AKS ProTalent,India,1 day ago,https://in.linkedin.com/jobs/view/data-analyst-at-aks-protalent-3335391423?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=PqFCVGuf1aJe2Xq0rWrGiQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,
Data Analyst,Info Origin Inc.,"Bangalore Urban, Karnataka, India",23 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-info-origin-inc-3344617755?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=5uF4CORk3tery3flOwiJBw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,
Data Engineer/Analyst,Alphanumeric Systems,"Delhi Cantonment, Delhi, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-analyst-at-alphanumeric-systems-3344589808?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=pqr%2BAImpFbvnH2HmfQxA%2Bg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,"0+ years total experience , 5 years Senior Engineering experience."
Retention Data Analyst,University of the People,India,21 hours ago,https://in.linkedin.com/jobs/view/retention-data-analyst-at-university-of-the-people-3257715601?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=dTqmCVZ0XSAvA9oA0Olybg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,2 years of experience
Data Analyst,Applicantz,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3342440267?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=ShDTdxCnkx5QkOon0ynKIw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,Experience Level 5-7 years
Data Analyst,SmartAnalyst,"Gurugram, Haryana, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-smartanalyst-3281550898?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=lm8nknqucnLrtQz6o9Pgjg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,
Data Processing Analyst - Core SO,NielsenIQ,"Chennai, Tamil Nadu, India",19 hours ago,https://in.linkedin.com/jobs/view/data-processing-analyst-core-so-at-nielseniq-2894396796?refId=UsKlslufWc4uO7szICF5NA%3D%3D&trackingId=vsqnvbBt0F9Qc1FvYGqu3A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,04-11-2022_10:20:06,
