role,company,location,time,link,Domain,scraped
Analyst/Data Analytics,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India",19 hours ago,https://in.linkedin.com/jobs/view/analyst-data-analytics-at-d-e-shaw-india-private-limited-3235208151?refId=%2BOHIQMSfhJHYk6eEXWUGQQ%3D%3D&trackingId=NCeitb%2FpiH7C7%2F2VU2pofw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-10-2022_11:06:20
"Analyst, Analytics",Mondelēz International,"Mumbai, Maharashtra, India",15 hours ago,https://in.linkedin.com/jobs/view/analyst-analytics-at-mondel%C4%93z-international-3308403364?refId=%2BOHIQMSfhJHYk6eEXWUGQQ%3D%3D&trackingId=I%2B8v3gfRtwhuiLxYq589wg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-10-2022_11:06:20
"Analyst, Data & Analytics-1",Thomson Reuters,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/analyst-data-analytics-1-at-thomson-reuters-3312691813?refId=%2BOHIQMSfhJHYk6eEXWUGQQ%3D%3D&trackingId=i6HwolmL47KBHw1Xu9Wfhw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-10-2022_11:06:20
Data Analyst,PlotX,"Delhi, India",42 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-plotx-3309241135?refId=%2BOHIQMSfhJHYk6eEXWUGQQ%3D%3D&trackingId=YcZxg4QTCeSrBostyNT7BA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-10-2022_11:06:20
Data Analyst-Supply Chain,Pierian Services,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-supply-chain-at-pierian-services-3279731318?refId=%2BOHIQMSfhJHYk6eEXWUGQQ%3D%3D&trackingId=UU48Z7rbUKo4CxNo13bAvw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-10-2022_11:06:20
Data Analyst,ImpactGuru,"Mumbai, Maharashtra, India",43 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-impactguru-3313079615?refId=%2BOHIQMSfhJHYk6eEXWUGQQ%3D%3D&trackingId=nylYIgJMUdxGlrv2hsvwNA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-10-2022_11:06:20
Data Analyst,ManpowerGroup,"Coimbatore, Tamil Nadu, India",23 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-manpowergroup-3307764283?refId=%2BOHIQMSfhJHYk6eEXWUGQQ%3D%3D&trackingId=%2FrqNDHAOeqXoxirnEEmcLA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-10-2022_11:06:20
Data Analyst,YouGotaGift,"Kerala, India",1 day ago,https://in.linkedin.com/jobs/view/data-analyst-at-yougotagift-3304774306?refId=%2BOHIQMSfhJHYk6eEXWUGQQ%3D%3D&trackingId=rKBLJ9Rp3eyem59L1UxjqA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-10-2022_11:06:20
Product Data Analyst,Silicon Labs,"Hyderabad, Telangana, India",19 hours ago,https://in.linkedin.com/jobs/view/product-data-analyst-at-silicon-labs-3213598361?refId=%2BOHIQMSfhJHYk6eEXWUGQQ%3D%3D&trackingId=q%2FwihgPFYMLxDzDxSc2FCA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-10-2022_11:06:20
Data Analyst,Cotiviti,"Pune, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-cotiviti-3280894296?refId=%2BOHIQMSfhJHYk6eEXWUGQQ%3D%3D&trackingId=ycmb7YcVHdQhyh3YoBHVbg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,13-10-2022_11:06:20
