role,company,location,time,link,Domain,scraped
Data Analyst Bootcamp,Lejhro Bootcamp,India,1 hour ago,https://in.linkedin.com/jobs/view/data-analyst-bootcamp-at-lejhro-bootcamp-3283302374?refId=9ynB6M3VQ7dLUkOhieJNVQ%3D%3D&trackingId=0myr%2BN7q9W6SXdDNGs6egw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-09-2022_10:32:05
Data Analyst,Just Deliveries,"Mumbai, Maharashtra, India",3 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-just-deliveries-3295328366?refId=9ynB6M3VQ7dLUkOhieJNVQ%3D%3D&trackingId=aHsV4G81rbQmlMxmR36E5w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-09-2022_10:32:05
Data Analyst,WhiteCrow Research,"Delhi, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-whitecrow-research-3291320355?refId=9ynB6M3VQ7dLUkOhieJNVQ%3D%3D&trackingId=PJR9DZgZeoUX%2BQnFSkDTHw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-09-2022_10:32:05
"Data Analyst - Bangalore, KA",Optum,"Bengaluru, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/data-analyst-bangalore-ka-at-optum-3295306528?refId=9ynB6M3VQ7dLUkOhieJNVQ%3D%3D&trackingId=est1c%2F9%2BbeqHRQA%2Fj0SQgQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-09-2022_10:32:05
Analyst-Data Science,American Express,"Gurgaon, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-3281782351?refId=9ynB6M3VQ7dLUkOhieJNVQ%3D%3D&trackingId=DyuYjNzwYwbd0ki11j5DSA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-09-2022_10:32:05
Data Analyst,Feathersoft,"Kochi, Kerala, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-feathersoft-3290791946?refId=9ynB6M3VQ7dLUkOhieJNVQ%3D%3D&trackingId=uPMR7u8ADtktVFbGMGWBSw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-09-2022_10:32:05
Data Analyst,Feathersoft,"Chalakkudy, Kerala, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-feathersoft-3290791956?refId=9ynB6M3VQ7dLUkOhieJNVQ%3D%3D&trackingId=94jTKU5NgD2wgPCmw1y2%2BQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-09-2022_10:32:05
Data Analyst,Prometric,"Gurugram, Haryana, India",21 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-prometric-3293938011?refId=9ynB6M3VQ7dLUkOhieJNVQ%3D%3D&trackingId=%2F%2FEdd1BpcVBVc0lHLzRJ4A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-09-2022_10:32:05
Business Data Analyst,peel-works,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/business-data-analyst-at-peel-works-3290700241?refId=9ynB6M3VQ7dLUkOhieJNVQ%3D%3D&trackingId=YcZUrkFyBlo2%2BFvWbtnfKA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-09-2022_10:32:05
SQL (Data Analyst),Giant Eagle GCC,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/sql-data-analyst-at-giant-eagle-gcc-3291320248?refId=9ynB6M3VQ7dLUkOhieJNVQ%3D%3D&trackingId=Ssypm2nT8ws%2Bzblg6vZ56w%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,30-09-2022_10:32:05
