role,company,location,time,link,scraped
Senior Security Analyst,StrongBox IT - Cybersecurity Consulting,"Chennai, Tamil Nadu, India",22 hours ago,https://in.linkedin.com/jobs/view/senior-security-analyst-at-strongbox-it-cybersecurity-consulting-3247804586?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=W9fWhjXEjiuSwG4JQsN5hw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,LeadSquared,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-leadsquared-3253201075?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=z7TWKP32qwUNonro9vJNEA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
DG - Assistant Manager - Data Analyst-ANA004756,Genpact,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/dg-assistant-manager-data-analyst-ana004756-at-genpact-3121211462?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=pGvpacDhQzxkL2kBxlwfrQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst/Functional Consultant,Cognizant,"Hyderabad, Telangana, India",18 hours ago,https://in.linkedin.com/jobs/view/business-analyst-functional-consultant-at-cognizant-3252963379?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=PkzWrTQk6EHY401sTprShA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst - Analytics-ANA004952,Genpact,"Pune, Maharashtra, India",19 hours ago,https://in.linkedin.com/jobs/view/business-analyst-analytics-ana004952-at-genpact-3150567569?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=K0GcpYOgooihFDhN%2B52whg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Quality Analyst,NatWest Group,"Chennai, Tamil Nadu, India",17 hours ago,https://in.linkedin.com/jobs/view/quality-analyst-at-natwest-group-3241779148?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=UGm1Z%2FO8orJcV8N%2BhSRkJw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
"Manager, Customer Analytics (Bangkok-based, relocation provided)",Agoda,"Delhi, Delhi, India",19 hours ago,https://in.linkedin.com/jobs/view/manager-customer-analytics-bangkok-based-relocation-provided-at-agoda-3214414698?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=Z5pcMaCk7Op34d7gy5SPGQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Senior Financial Analyst,Novartis India,"Hyderabad, Telangana, India",18 hours ago,https://in.linkedin.com/jobs/view/senior-financial-analyst-at-novartis-india-3255036089?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=0VxQVROjlvajEhRgb%2F53%2BQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Senior Digital and CRM Executive,ODLA,India,16 hours ago,https://in.linkedin.com/jobs/view/senior-digital-and-crm-executive-at-odla-3247849158?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=yeWRbYp5soss%2Bq5NREGmkA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
"Model Validation Analyst, Sr",Bread Financial,"West Bengal, India",21 hours ago,https://in.linkedin.com/jobs/view/model-validation-analyst-sr-at-bread-financial-3252942416?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=eh8kG%2FSKeRMmP1R66lfOzA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Sr Software Engineer,Baxter International Inc.,"Bengaluru, Karnataka, India",14 hours ago,https://in.linkedin.com/jobs/view/sr-software-engineer-at-baxter-international-inc-3212140249?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=Dw7OYjfLgpFAXGYqCu1GYw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
DG - Business Analyst - Analytics-ANA004527,Genpact,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/dg-business-analyst-analytics-ana004527-at-genpact-3084914917?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=xUE38O66%2B0N%2BjmPTaW3xkQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Sr. Business Analyst – ICSR,Haleon,"Hyderabad, Telangana, India",10 hours ago,https://in.linkedin.com/jobs/view/sr-business-analyst-%E2%80%93-icsr-at-haleon-3247842673?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=B2mJV%2BUlVZokW5P3epUyrg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Senior Analyst - Credit Risk,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/senior-analyst-credit-risk-at-societe-generale-global-solution-centre-3009153833?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=ng0XIGvTtw1FcYCKleq8FQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Network Operations Analyst II,Mastercard,"Pune, Maharashtra, India",17 hours ago,https://in.linkedin.com/jobs/view/network-operations-analyst-ii-at-mastercard-3252972517?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=Ghhg0pHnJV9aUUKOxYS%2Fhw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst – Security Events & Corporate Actions,Avaloq,"Pune, Maharashtra, India",3 hours ago,https://in.linkedin.com/jobs/view/business-analyst-%E2%80%93-security-events-corporate-actions-at-avaloq-3248349101?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=cRvd8Ka9pUpjB3eVU%2F1pDw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
"Senior Financial Analyst- BPA, CTS",Novartis India,"Hyderabad, Telangana, India",18 hours ago,https://in.linkedin.com/jobs/view/senior-financial-analyst-bpa-cts-at-novartis-india-3255032513?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=qxbBKOsWVhWrWBu5pdYtZw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Senior Analyst - Model Risk (L 08),Synchrony,"Hyderabad, Telangana, India",14 hours ago,https://in.linkedin.com/jobs/view/senior-analyst-model-risk-l-08-at-synchrony-3244567503?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=ogAXqX44nmv19MQ5iY9r6g%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Senior Analyst,Societe Generale Global Solution Centre,"Chennai, Tamil Nadu, India",20 hours ago,https://in.linkedin.com/jobs/view/senior-analyst-at-societe-generale-global-solution-centre-3080012795?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=VEtPbe2mkrnMvNPlZEre9g%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Network Operations Analyst I-1,Mastercard,"Pune, Maharashtra, India",17 hours ago,https://in.linkedin.com/jobs/view/network-operations-analyst-i-1-at-mastercard-3252972512?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=mMhE%2BvsVyl1qEkNMRge%2F2Q%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
IT Business Analyst - Treasury and Cash Management,Alcon,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/it-business-analyst-treasury-and-cash-management-at-alcon-3248311975?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=o7eQUiqbQWXD%2Faop28xUDA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Senior Analyst - Human Resources,Duck Creek Technologies,"Mumbai, Maharashtra, India",14 hours ago,https://in.linkedin.com/jobs/view/senior-analyst-human-resources-at-duck-creek-technologies-3253040215?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=3EeoTV9IJ2YrTlY7IELx%2FA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
"Manager, Customer Analytics (Bangkok-based, relocation provided)",Agoda,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/manager-customer-analytics-bangkok-based-relocation-provided-at-agoda-3214416509?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=yj0Yc%2BrDy4SqCyLNypDFIg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Sr. Business Analyst,CNSI,India,19 hours ago,https://in.linkedin.com/jobs/view/sr-business-analyst-at-cnsi-2964156353?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=3F5ZYF6kE2dAvvixNyvsyQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst - Analytics-ANA004514,Genpact,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/business-analyst-analytics-ana004514-at-genpact-3084917716?refId=FsQYjOe28lqpXyU0oaW1LA%3D%3D&trackingId=oi6e5wnOnaYiFmltuyS7Ow%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,SpiceJet Limited,"Surat, Gujarat, India",11 minutes ago,https://in.linkedin.com/jobs/view/business-analyst-at-spicejet-limited-3248367504?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=%2FMsxBfeWPPVeaPz6PZK8Eg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,Hirepedia,Greater Bengaluru Area,42 minutes ago,https://in.linkedin.com/jobs/view/business-analyst-at-hirepedia-3253726010?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=z07VWbhNhYwDtV35f3vJ2w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,BosLeo,"Surat, Gujarat, India",Just now,https://in.linkedin.com/jobs/view/business-analyst-at-bosleo-3253729398?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=%2BtUhM4zesJISsLpwjS1zzA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,Netscribes,"Mumbai, Maharashtra, India",27 minutes ago,https://in.linkedin.com/jobs/view/business-analyst-at-netscribes-3255758487?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=ewnS8FSNeu%2FBuH848G7fGw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,Codewexy Digital LLP,"Surat, Gujarat, India",20 minutes ago,https://in.linkedin.com/jobs/view/business-analyst-at-codewexy-digital-llp-3255756780?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=Ea1Vu8z51r3V8uFvungRuQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,POWER IT SERVICES,"Ghaziabad, Uttar Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-power-it-services-3255750769?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=QIY6LBRjNFaL2lLzcIRMBQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,ORACLE SOLUTION SERVICES (INDIA) PRIVATE LIMITED,"Bengaluru, Karnataka, India",3 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-oracle-solution-services-india-private-limited-3248349048?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=WeQF1WD2FDGTjDgumnuodw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
IT-Business Analyst// Work From Office,Gmware,"Sas Nagar, Punjab, India",1 hour ago,https://in.linkedin.com/jobs/view/it-business-analyst-work-from-office-at-gmware-3248354998?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=OzWQBKG5mvgN5%2F02LxjYzA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Information Technology Business Analyst,Zigsaw,"Nashik, Maharashtra, India",9 hours ago,https://in.linkedin.com/jobs/view/information-technology-business-analyst-at-zigsaw-3253424649?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=knIaNzDZ3NBedC3JsR3G5A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,MSX International,"Pune, Maharashtra, India",23 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-msx-international-3247804546?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=eceMOKuWsM3o%2F4sDIe%2B40g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,Simplify Healthcare,"Pune, Maharashtra, India",17 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-simplify-healthcare-3247836906?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=4deD7ahNaWA74fgbyAuHpA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Lead Business Analyst,TekWissen ®,"Hyderabad, Telangana, India",33 minutes ago,https://in.linkedin.com/jobs/view/lead-business-analyst-at-tekwissen-%C2%AE-3248367228?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=vGMWdTjthIwCWANyDZR3RQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,AiSensy,"Gurugram, Haryana, India",21 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-aisensy-3247811085?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=F%2FsGrnPzsJk8543kZYcOpw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
Business Analyst,Navi,"Bangalore Urban, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-navi-3247859480?refId=mDBjvLisJejESQzmDqizzw%3D%3D&trackingId=kGAJIeO3dd2juC45cpYnuA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:40:09
