role,company,location,time,link,Domain,scraped,Experience
Data Analyst,Randstad India,"Bengaluru, Karnataka, India",8 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-randstad-india-3380377002?refId=JmpZvteekWkVZ%2F4D%2BfAI%2Bw%3D%3D&trackingId=ZQ4mWEegjwlJfIP2U1RMqw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-12-2022_10:26:22,"4+ Years Experience
,  Experience 
1 3-5 years"
Data Analyst - Compliance,PhonePe,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-compliance-at-phonepe-3323196304?refId=JmpZvteekWkVZ%2F4D%2BfAI%2Bw%3D%3D&trackingId=DdJrxYzcgLzsWTH0pUNO3A%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-12-2022_10:26:22,"1 to 2 years of experience , 
Experience 5-6 years"
Data Analyst (BI),Alta Group (formerly Fundnel),"Mumbai, Maharashtra, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-bi-at-alta-group-formerly-fundnel-3382398267?refId=JmpZvteekWkVZ%2F4D%2BfAI%2Bw%3D%3D&trackingId=IQibzE3y8i2Chr22OO5G3A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-12-2022_10:26:22,1-3 years of experience
Data Analyst,Ford Motor Company,"Chennai, Tamil Nadu, India",4 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-ford-motor-company-3383335356?refId=JmpZvteekWkVZ%2F4D%2BfAI%2Bw%3D%3D&trackingId=gg%2B%2FJCTtxZC2gz1kdSDeDw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-12-2022_10:26:22,5+ years of experience
Data and Insights analyst,Wenger & Watson Inc,"Chennai, Tamil Nadu, India",1 hour ago,https://in.linkedin.com/jobs/view/data-and-insights-analyst-at-wenger-watson-inc-3375864463?refId=JmpZvteekWkVZ%2F4D%2BfAI%2Bw%3D%3D&trackingId=ny2n5A65KPvCm1XtXVPaug%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-12-2022_10:26:22,9-12 years of IT experience
Freelance Data Analyst,Flexing It®,India,23 hours ago,https://in.linkedin.com/jobs/view/freelance-data-analyst-at-flexing-it%C2%AE-3382312182?refId=JmpZvteekWkVZ%2F4D%2BfAI%2Bw%3D%3D&trackingId=jcAX16%2B%2F63tSod2agL9uSw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-12-2022_10:26:22,
Data Analyst,JLL,"Gurgaon, Haryana, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-jll-3367175732?refId=JmpZvteekWkVZ%2F4D%2BfAI%2Bw%3D%3D&trackingId=BLi1QQe176WaT03kSK3BFQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-12-2022_10:26:22,Experience 3-5 years
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3382378878?refId=JmpZvteekWkVZ%2F4D%2BfAI%2Bw%3D%3D&trackingId=pMnR4Gi8zhVKk8MKUHS55A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-12-2022_10:26:22,Experience Level 5-7 years
Data Analyst,JLL,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-jll-3367178891?refId=JmpZvteekWkVZ%2F4D%2BfAI%2Bw%3D%3D&trackingId=02i%2BUefmMqaQQKPKivs8Dg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-12-2022_10:26:22,
"Data Analysis- Data Visualization + (Alteryx, Python, SQL, R)",Spectral Consultants,"Gurugram, Haryana, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analysis-data-visualization-%2B-alteryx-python-sql-r-at-spectral-consultants-3379541581?refId=JmpZvteekWkVZ%2F4D%2BfAI%2Bw%3D%3D&trackingId=eAaKTOOe99lIJy6sCoX0rQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,02-12-2022_10:26:22,
