role,company,location,time,link,Domain,scraped
Data Analyst,Tata Consultancy Services,"Gurugram, Haryana, India",1 hour ago,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3311487370?refId=Pi01%2F3oYshBV2hfglQaXQQ%3D%3D&trackingId=UpYDJdnrRIGWSqbF0%2BP1kQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,18-10-2022_10:48:24
Data Analyst,Interview Kickstart,"Bangalore Urban, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/data-analyst-at-interview-kickstart-3319870357?refId=Pi01%2F3oYshBV2hfglQaXQQ%3D%3D&trackingId=gvXovg8qU6s8U1yRHXmIbQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,18-10-2022_10:48:24
Data Analyst,Flexi Analyst,India,12 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-flexi-analyst-3311494049?refId=Pi01%2F3oYshBV2hfglQaXQQ%3D%3D&trackingId=aeRc%2FC%2B8Wr7oTD87MksyYA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,18-10-2022_10:48:24
Data Analyst,Zeno Health,"Mumbai, Maharashtra, India",23 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-zeno-health-3318782002?refId=Pi01%2F3oYshBV2hfglQaXQQ%3D%3D&trackingId=iR4U099a6pwzJPgCR2%2FTUw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,18-10-2022_10:48:24
Data Analyst,"Advaana, Inc.","Hyderabad, Telangana, India",5 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-advaana-inc-3319798023?refId=Pi01%2F3oYshBV2hfglQaXQQ%3D%3D&trackingId=GC8fcmlfYD0nnePUzUZg7A%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,18-10-2022_10:48:24
"Analyst, Analytics & Metrics",Mastercard,"Pune, Maharashtra, India",11 hours ago,https://in.linkedin.com/jobs/view/analyst-analytics-metrics-at-mastercard-3316667183?refId=Pi01%2F3oYshBV2hfglQaXQQ%3D%3D&trackingId=DWz8tw4Rnw7vGRSTeXFsFQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,18-10-2022_10:48:24
Assurance Data Analyst - Technology,BDO RISE Private Limited,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/assurance-data-analyst-technology-at-bdo-rise-private-limited-3316444140?refId=Pi01%2F3oYshBV2hfglQaXQQ%3D%3D&trackingId=xAGh3Jb%2F4owgcfLdaaeW4w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,18-10-2022_10:48:24
"Analyst, Analytics & Metric",Mastercard,"Pune, Maharashtra, India",5 hours ago,https://in.linkedin.com/jobs/view/analyst-analytics-metric-at-mastercard-3316873602?refId=Pi01%2F3oYshBV2hfglQaXQQ%3D%3D&trackingId=uopRjX7WrGjbUTPPAkTHqA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,18-10-2022_10:48:24
Data Analyst,Applicantz,"Bengaluru, Karnataka, India",17 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3319164169?refId=Pi01%2F3oYshBV2hfglQaXQQ%3D%3D&trackingId=dgU3h5HXkkZ5PoFbPdjbPA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,18-10-2022_10:48:24
Data Analyst,Haleon,"Hyderabad, Telangana, India",13 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-haleon-3319274132?refId=Pi01%2F3oYshBV2hfglQaXQQ%3D%3D&trackingId=ZPXJFyl3%2B%2FsNpvfMUpYooQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,18-10-2022_10:48:24
