role,company,location,time,link,Domain,scraped
Data Analyst,Rystad Energy,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-rystad-energy-3270791709?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=%2B11wUqzIxiDucQqEhQ608g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
Data Analyst,PediaGeek,India,Just now,https://in.linkedin.com/jobs/view/data-analyst-at-pediageek-3276240917?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=FgUv6TdR8DZ4TBtjtNywwQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
Data Analyst,Apidel Technologies,"Bengaluru, Karnataka, India",27 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-apidel-technologies-3276242418?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=xUp6%2BA3H5BJAPqDghRFl0A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
Data Analyst,Nation with NaMo,"Gurugram, Haryana, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-nation-with-namo-3275645199?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=zud0EVDhjEJjlpKRYOe6ZA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
Fraud Data Analyst,Zolve,"Bengaluru, Karnataka, India",6 hours ago,https://in.linkedin.com/jobs/view/fraud-data-analyst-at-zolve-3277413802?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=tgs0KlwlVDJZlqSpz%2BQo0w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
Data Science Analyst,Adobe,"Bengaluru, Karnataka, India",6 hours ago,https://in.linkedin.com/jobs/view/data-science-analyst-at-adobe-3276064830?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=gfXd2Bfkq80QkAL5ubpFrg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
Data Engineer [T500-4694],3M,"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/data-engineer-t500-4694-at-3m-3277200507?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=B3VuEOu7pXMmzvmWTN54MA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
Data Analyst,Applicantz,"Bangalore Urban, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3277026014?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=p0OoA7ZNJVpn6FbZPg7E%2FQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
Data Analyst,OkayGo,"Gurugram, Haryana, India",18 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-okaygo-3274772299?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=bllKguymzWbjDUPVw02X1A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
Data Analyst,TactTree LLP,"Vadodara, Gujarat, India",24 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-tacttree-llp-3271820614?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=xZVggOjwSyXlkUAIaciWDA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
"Data Analyst, Trilogy (Remote) - $60,000/year USD",Crossover for Work,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-trilogy-remote-%2460-000-year-usd-at-crossover-for-work-3266442739?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=l37%2F2RJeeiO7B4DcYOA%2BgA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
"Data Analyst, Trilogy (Remote) - $60,000/year USD",Crossover for Work,"Delhi, Delhi, India",21 hours ago,https://in.linkedin.com/jobs/view/data-analyst-trilogy-remote-%2460-000-year-usd-at-crossover-for-work-3266444422?refId=cjcz8TXisScnkERMBnmhSA%3D%3D&trackingId=th%2FVenH9U%2BCko08QMtjnMQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,20-09-2022_10:14:01
