role,company,location,time,link,Domain,scraped,Experience
Data Analyst,PayU,"Bengaluru, Karnataka, India",8 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-payu-3324544001?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=PJTaoMQZmOAjs%2FUcwv5bRQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,Experience of 3 to 5 years
Data Analyst,PayU,"Mumbai, Maharashtra, India",8 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-payu-3324537879?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=22hU7J%2FCAuejbFC531QKcg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,Experience of 3 to 5 years
Data Analyst,Tata Consultancy Services,"Hyderabad, Telangana, India",23 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3320731297?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=15gU%2BF6d32NquMOM6q2U3A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,Experience- 3 to 7 years
"Analyst, Analytics",Mondelēz International,"Mumbai, Maharashtra, India",11 hours ago,https://in.linkedin.com/jobs/view/analyst-analytics-at-mondel%C4%93z-international-3321461914?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=ymhbFCAnxgY6TQ50xuwa3Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,
Data Analyst - Compliance,PhonePe,"Bengaluru, Karnataka, India",21 hours ago,https://in.linkedin.com/jobs/view/data-analyst-compliance-at-phonepe-3323196304?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=iiHyqecmKRP3PaTKQJRm5w%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,"1 to 2 years of experience , 
Experience 5-6 years"
Data Analyst,JLL,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-jll-3257335897?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=QKhQiuNf54yHaRXAMVuelg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,1-3 years past work experience
Data Analyst,Our Parking Space,India,40 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-our-parking-space-3313305540?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=7u%2FUKhSP3ycYmyr%2B98R%2BOw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,"experience
1 - 2 years"
Data Analyst,LSEG (London Stock Exchange Group),"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-lseg-london-stock-exchange-group-3321287930?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=K3FDmswA0vLatL%2B1PNKvBw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,
Data Analyst,WeLoveNoCode,India,14 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-welovenocode-3322053141?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=rsAcAMXzF%2FEdCgNgWLacAw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,"2+ years experience , 1+ years of experience , 1+ years of experience"
Big Data Analyst,PayU,"Bengaluru, Karnataka, India",8 hours ago,https://in.linkedin.com/jobs/view/big-data-analyst-at-payu-3324538572?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=u6I2lkFivyUrtnq%2FApJ2SA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,2+ years of experience
Big Data Analyst,PayU,"Gurgaon, Haryana, India",8 hours ago,https://in.linkedin.com/jobs/view/big-data-analyst-at-payu-3324544000?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=c0EgcNHf8DkYWeCXg6l2iA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,
"Analyst, Analytics & Metrics",Mastercard,"Gurgaon, Haryana, India",21 hours ago,https://in.linkedin.com/jobs/view/analyst-analytics-metrics-at-mastercard-3289576133?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=3vcax%2BLb3ehYoFCnkWVAaw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,
Analyst-Data Science,American Express,"Gurgaon, Haryana, India",21 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-3320762446?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=2oy%2FmB7xrVZ7ZFiwxWBAeg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,"Experience

0-4 years"
Data Analyst,Applicantz,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-applicantz-3323546903?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=y0XaNX6gAcikxQpFe2QX%2FQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,
"Data Analyst, Data Analytics",Cardinal Health,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-data-analytics-at-cardinal-health-3088529732?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=hBHp0buavIIcljmJEIaCiw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,
Data Standard Analyst,Medpace,"Navi Mumbai, Maharashtra, India",20 hours ago,https://in.linkedin.com/jobs/view/data-standard-analyst-at-medpace-2902182913?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=F3uKiRQgLp4nl7OhAfFVOA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,
Data and Insights Analyst,AstraZeneca,"Chennai, Tamil Nadu, India",14 hours ago,https://in.linkedin.com/jobs/view/data-and-insights-analyst-at-astrazeneca-3321405589?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=LhhjR0eFzms6HaYFWMoFCA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,"Experience



9-1, 2 years of IT experience"
Process Developer– Data Analyst-COR021673,Genpact,"Noida, Uttar Pradesh, India",21 hours ago,https://in.linkedin.com/jobs/view/process-developer%E2%80%93-data-analyst-cor021673-at-genpact-2928360213?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=kU30q45OlfRRBVvnVFRiTQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,
Data Modeller,Fractal,"Bangalore Urban, Karnataka, India",21 hours ago,https://in.linkedin.com/jobs/view/data-modeller-at-fractal-3221891698?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=ixMvzSebsq7vNR4%2FdnMzeg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,"3 - 5 years of technology experience , 3 years of minimum experience"
Analyst - Data Science,Accenture in India,"Mumbai, Maharashtra, India",14 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-at-accenture-in-india-3324086833?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=%2FsJjUdb%2F7A6kg2aBl3aMZw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,
"Analyst, Master Data (PMD)",Cardinal Health,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/analyst-master-data-pmd-at-cardinal-health-3254003950?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=CWyPVjs02taZ9jIcBQ7LsQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,
Analyst / Consultant - Analytics,Hexaconcepts,"Noida, Uttar Pradesh, India",11 hours ago,https://in.linkedin.com/jobs/view/analyst-consultant-analytics-at-hexaconcepts-3321468993?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=PU85wbNgicC4dTHQXAP2%2Bg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,2 - 7 years relevant industry experience
Data Engineer,PayU,"Bengaluru, Karnataka, India",8 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-payu-3324543012?refId=WUl1JqblnlSp9XkmwRW%2F2Q%3D%3D&trackingId=2aHnyMjWMnYXDFGoe%2BxlXQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,21-10-2022_12:02:58,
Data Scientist,PayU,"Bengaluru, Karnataka, India",8 hours ago,https://in.linkedin.com/jobs/view/data-scientist-at-payu-3324537880?refId=MjTTx81qtcYlJgU5vQTQZg%3D%3D&trackingId=IyRLZsl%2B%2FWY07MKQJx7QqQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,21-10-2022_12:02:58,
Associate Data Scientist - ML & NLP,Gartner,"Gurgaon, Haryana, India",50 minutes ago,https://in.linkedin.com/jobs/view/associate-data-scientist-ml-nlp-at-gartner-3322028592?refId=MjTTx81qtcYlJgU5vQTQZg%3D%3D&trackingId=M7q%2FFiOJ4rp15DBSrz5fHw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,21-10-2022_12:02:58,
Analyst-Data Science,American Express,"Gurgaon, Haryana, India",21 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-3320762446?refId=MjTTx81qtcYlJgU5vQTQZg%3D%3D&trackingId=WreOtBrBHFiRWJ%2FmSy9BxQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,21-10-2022_12:02:58,"Experience

0-4 years"
Data Scientist - Machine learning,PayU,"Bengaluru, Karnataka, India",8 hours ago,https://in.linkedin.com/jobs/view/data-scientist-machine-learning-at-payu-3324533998?refId=MjTTx81qtcYlJgU5vQTQZg%3D%3D&trackingId=D6ypsRnjACGlrVc5skilsA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,21-10-2022_12:02:58,
Role: Data Scientist (Fraud Analytics ),PayU,"Bengaluru, Karnataka, India",8 hours ago,https://in.linkedin.com/jobs/view/role-data-scientist-fraud-analytics-at-payu-3324533999?refId=MjTTx81qtcYlJgU5vQTQZg%3D%3D&trackingId=ujk6xUihYOIvEPxlatE%2BQA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,21-10-2022_12:02:58,
Data Analyst,PayU,"Bengaluru, Karnataka, India",8 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-payu-3324544001?refId=MjTTx81qtcYlJgU5vQTQZg%3D%3D&trackingId=8v%2Fuf8HgHkMlDqcAA40vmA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,21-10-2022_12:02:58,Experience of 3 to 5 years
Data Analyst,PayU,"Mumbai, Maharashtra, India",8 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-payu-3324537879?refId=MjTTx81qtcYlJgU5vQTQZg%3D%3D&trackingId=%2FKBDjhGfpu03gmKkSLLPZg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,21-10-2022_12:02:58,
